iter	MultiClass
0	1.016672474
1	0.9629392324
2	0.9105331012
3	0.8739638421
4	0.840552627
5	0.8160800094
6	0.7945366667
7	0.765874957
8	0.7510884138
9	0.7370395932
10	0.7267373499
11	0.7186745815
12	0.7069802091
13	0.6966917651
14	0.6895138824
15	0.6837695329
16	0.676258955
17	0.6722978513
18	0.6680944814
19	0.6647684566
20	0.6607692725
21	0.6579181165
22	0.6541699178
23	0.6455554359
24	0.6427998194
25	0.6382401165
26	0.6355196011
27	0.6327018917
28	0.6310626706
29	0.6292453107
30	0.6274312963
31	0.6257486487
32	0.6239590278
33	0.621925007
34	0.6202454633
35	0.6183143087
36	0.616564904
37	0.6145425745
38	0.6134399643
39	0.6123531944
40	0.6104913552
41	0.6096555974
42	0.6088006771
43	0.6056415109
44	0.6044077591
45	0.6033925146
46	0.6017794019
47	0.6011123296
48	0.600449031
49	0.5988424135
50	0.5977044893
51	0.5959140289
52	0.5953354767
53	0.5940030479
54	0.5931144498
55	0.5923156565
56	0.5914590844
57	0.5906666116
58	0.5902730891
59	0.5899246657
60	0.5892642733
61	0.588594854
62	0.5874582573
63	0.5865147474
64	0.5862205558
65	0.5859364998
66	0.5855808982
67	0.5842220509
68	0.5835792111
69	0.5831983088
70	0.5825583422
71	0.5819465178
72	0.5814436897
73	0.5811078642
74	0.5802994537
75	0.5798667284
76	0.5794873005
77	0.5791581617
78	0.5788849544
79	0.5784705998
80	0.5781008123
81	0.5772551279
82	0.5766604513
83	0.5764036494
84	0.5760330061
85	0.5754799664
86	0.5753073866
87	0.5750127085
88	0.5746433056
89	0.5742522742
90	0.5739259436
91	0.5735448671
92	0.5730247454
93	0.5726766384
94	0.5724463439
95	0.5722606943
96	0.5718385958
97	0.571600534
98	0.5712134748
99	0.5710161145
100	0.5707652186
101	0.57042577
102	0.5699088552
103	0.5696133305
104	0.5693862322
105	0.5690551003
106	0.5685159908
107	0.5681300421
108	0.5676806159
109	0.5671999424
110	0.5666955592
111	0.5663244275
112	0.5660283669
113	0.5655593437
114	0.5648712352
115	0.5637926196
116	0.5634084092
117	0.5629320615
118	0.5627071797
119	0.5618000109
120	0.5599171217
121	0.5594644335
122	0.5590570229
123	0.558569713
124	0.5581889403
125	0.5576701043
126	0.556754616
127	0.5562096548
128	0.555709248
129	0.5553804866
130	0.5547070598
131	0.5543046218
132	0.5537622965
133	0.5531375989
134	0.5528062878
135	0.5524097719
136	0.5520576467
137	0.5517980668
138	0.5503402713
139	0.5500569177
140	0.5493737494
141	0.5490572786
142	0.5485790532
143	0.5480144083
144	0.5473721613
145	0.5465766914
146	0.5463836352
147	0.5461440412
148	0.5459232171
149	0.5456676586
150	0.5448650934
151	0.5445389017
152	0.544288748
153	0.5439565086
154	0.543647675
155	0.5433510662
156	0.5431353266
157	0.5427183143
158	0.5423371452
159	0.5417342601
160	0.5416311791
161	0.5413787406
162	0.5411523449
163	0.5408191181
164	0.5403365314
165	0.539801259
166	0.5396446659
167	0.5395160364
168	0.5392091936
169	0.5387095555
170	0.5383834005
171	0.5379599631
172	0.5375528491
173	0.5372606272
174	0.5368417027
175	0.5364438384
176	0.5361818786
177	0.5360569395
178	0.5356313944
179	0.5354579042
180	0.5350067758
181	0.5347931534
182	0.5345380265
183	0.5342268387
184	0.5337219151
185	0.5335039392
186	0.5332960997
187	0.5331494617
188	0.5323816782
189	0.5321663076
190	0.5316357451
191	0.5314502456
192	0.5310961766
193	0.5309622322
194	0.5307404323
195	0.53052378
196	0.5303192595
197	0.5300048417
198	0.5298455099
199	0.5295936169
200	0.5295412248
201	0.5293594588
202	0.5292373457
203	0.5289510368
204	0.5288075636
205	0.5285211891
206	0.5283000855
207	0.5279081367
208	0.5276827178
209	0.5276111392
210	0.527511312
211	0.5273893618
212	0.5273168085
213	0.5268619532
214	0.5266245307
215	0.526412731
216	0.5262125985
217	0.5259033129
218	0.5256554321
219	0.5255402886
220	0.5253602593
221	0.5249670524
222	0.5246821767
223	0.5243590364
224	0.5241241698
225	0.5236717918
226	0.5235291801
227	0.5231216646
228	0.522941283
229	0.5227828442
230	0.522505802
231	0.5223883316
232	0.5222833299
233	0.5220386921
234	0.5218966642
235	0.5214343974
236	0.5211492199
237	0.520980886
238	0.5208000845
239	0.5206205093
240	0.5204727455
241	0.5202158962
242	0.5200460637
243	0.5197874025
244	0.5193831807
245	0.5192108005
246	0.5190787129
247	0.5186202526
248	0.5184166477
249	0.5179334442
250	0.517708968
251	0.5171204054
252	0.5169102734
253	0.5166962407
254	0.5165644502
255	0.516463595
256	0.5163733403
257	0.5159292145
258	0.5157816999
259	0.515573908
260	0.5153481439
261	0.5151479642
262	0.5148639655
263	0.5143342237
264	0.5140609017
265	0.513865986
266	0.5136846876
267	0.5135721115
268	0.5132477009
269	0.5132051118
270	0.5129547395
271	0.5128101912
272	0.5126506689
273	0.5124033576
274	0.5123641932
275	0.5121807991
276	0.511725056
277	0.5113988742
278	0.5112941602
279	0.5111277244
280	0.5109343523
281	0.51084427
282	0.5106013402
283	0.5104909196
284	0.5102518516
285	0.5101081429
286	0.5098968804
287	0.5097147498
288	0.5092728291
289	0.508744503
290	0.5084581986
291	0.5084081787
292	0.5080899969
293	0.5079592121
294	0.5074339147
295	0.5072163863
296	0.5071074021
297	0.5070295383
298	0.5067785651
299	0.5065967981
