miles,location,name,sex,w,l,d,division,from,to,players_links
1095,"USA, Oklahoma, Okmulgee",Nick Jones,male,7,2,0,heavy,2015,2018,https://boxrec.com/en/proboxer/720981
1095,"USA, Oklahoma, Okmulgee",Vincent Baccus,male,4,0,1,light heavy,2017,2019,https://boxrec.com/en/proboxer/809914
1095,"USA, Texas, Kilgore",Ariel Juarez,male,2,1,0,middle,2018,2019,https://boxrec.com/en/proboxer/856178
1095,"USA, Minnesota",Leo Medel,male,1,0,0,super middle,2019,2019,https://boxrec.com/en/proboxer/860820
1098,"USA, Oklahoma, Sapulpa",Lee Broom,male,4,2,0,cruiser,2011,2019,https://boxrec.com/en/proboxer/574330
1100,"USA, Minnesota, Saint Cloud",Joe James,male,6,0,0,super light,2018,2019,https://boxrec.com/en/proboxer/839956
1105,"USA, Oklahoma, Earlsboro",Zachariah Kelley,male,5,24,1,light heavy,2011,2019,https://boxrec.com/en/proboxer/589262
1119,"USA, Texas, Tyler",Kenneth Taylor,male,10,1,2,super feather,2016,2019,https://boxrec.com/en/proboxer/768982
1119,"USA, Texas, Tyler",Jamarcus Warren,male,2,1,1,super middle,2018,2019,https://boxrec.com/en/proboxer/849575
1119,"USA, Texas, Tyler",David Bravo,male,3,0,0,super light,2018,2019,https://boxrec.com/en/proboxer/857205
1119,"USA, Texas, Tyler",Joshlune Jackson,male,1,3,0,super light,2016,2019,https://boxrec.com/en/proboxer/770764
1119,"USA, Texas, Tyler",Antonyo Kincade,male,0,0,1,welter,2018,2018,https://boxrec.com/en/proboxer/856332
1120,"USA, Texas, Port Arthur",Jaren Jones,male,0,1,0,super middle,2018,2018,https://boxrec.com/en/proboxer/827106
1121,"USA, Texas, Nederland",Joel Scott,male,0,1,0,welter,2019,2019,https://boxrec.com/en/proboxer/865689
1136,"USA, Kansas, Winfield",Juan Hollingworth,male,1,1,1,light heavy,2017,2019,https://boxrec.com/en/proboxer/792059
1138,"USA, Oklahoma, Seminole",Raymond Bighead,male,0,2,0,cruiser,2017,2019,https://boxrec.com/en/proboxer/788338
1141,"USA, Kansas, Andover",Jeremiah Page,male,3,7,0,light heavy,2014,2019,https://boxrec.com/en/proboxer/698671
1149,"USA, Oklahoma, Stillwater",Victor Gonzalez,male,0,1,0,super feather,2019,2019,https://boxrec.com/en/proboxer/869890
1150,"USA, Oklahoma, Carney",Bo Gibbs Jr,male,22,2,0,super middle,2011,2019,https://boxrec.com/en/proboxer/573236
1151,"USA, Oklahoma, Shawnee",Dennis Knifechief,male,12,11,1,super welter,2012,2019,https://boxrec.com/en/proboxer/596648
1151,"USA, Oklahoma, Shawnee",Jarrett Walden,male,0,2,0,welter,2018,2019,https://boxrec.com/en/proboxer/861723
1152,"USA, Kansas, Wichita",Nico Hernandez,male,7,0,0,fly,2017,2019,https://boxrec.com/en/proboxer/789592
1152,"USA, Kansas, Wichita",Immanual Thompson,male,8,0,0,light heavy,2010,2018,https://boxrec.com/en/proboxer/552261
1152,"USA, Kansas, Wichita",Cody Carillo,male,1,1,0,light heavy,2018,2019,https://boxrec.com/en/proboxer/838160
1152,"USA, Kansas, Wichita",Robert Alexander Seyam,male,3,9,0,light heavy,2014,2019,https://boxrec.com/en/proboxer/684644
1154,"USA, Kansas, Haysville",Jamie Black,male,0,1,0,heavy,2019,2019,https://boxrec.com/en/proboxer/869514
1156,"USA, Texas, Denison",Adrian Christmas,male,0,1,0,middle,2019,2019,https://boxrec.com/en/proboxer/880407
1165,"USA, South Dakota, Sioux Falls",Michael Birthmark,male,2,11,1,cruiser,2007,2019,https://boxrec.com/en/proboxer/425794
1168,"USA, Oklahoma, Choctaw",Braden Smith,male,4,0,0,light heavy,2015,2018,https://boxrec.com/en/proboxer/728079
1172,"USA, Texas, McKinney",Jordan Jones,male,4,0,0,super light,2016,2019,https://boxrec.com/en/proboxer/772149
1172,"USA, Texas, McKinney",Rashard Readus,male,0,2,0,heavy,2018,2019,https://boxrec.com/en/proboxer/843516
1175,"USA, Oklahoma, Midwest City",Elijah Pierce,male,9,2,0,super feather,2016,2019,https://boxrec.com/en/proboxer/768225
1175,"USA, Oklahoma, Midwest City",Tyler Benson,male,1,1,1,light heavy,2015,2018,https://boxrec.com/en/proboxer/728080
1177,"USA, Oklahoma, Edmond",Derrick Adkins,male,5,3,1,light heavy,2015,2019,https://boxrec.com/en/proboxer/717628
1179,"USA, Texas, Huntsville",Alfonso Lopez,male,31,3,0,light heavy,2007,2019,https://boxrec.com/en/proboxer/388433
1179,"USA, Texas, Garland",Guadalupe Perez,male,2,23,0,feather,2006,2019,https://boxrec.com/en/proboxer/347340
1179,"USA, Texas, Garland",John Pham,male,0,1,0,light,2019,2019,https://boxrec.com/en/proboxer/877990
1180,"USA, Texas, Mesquite",Darius Bagley,male,1,1,1,,2019,2019,https://boxrec.com/en/proboxer/877496
1180,"USA, Texas, Mesquite",David Picazo,male,1,0,0,welter,2019,2019,https://boxrec.com/en/proboxer/882742
1180,"USA, Texas, Mesquite",Robert Rodriguez,male,0,1,0,super light,2019,2019,https://boxrec.com/en/proboxer/871477
1181,"USA, Texas, Kingwood",Jesse Garcia,male,8,0,0,light,2015,2019,https://boxrec.com/en/proboxer/736446
1181,"USA, Oklahoma, Ardmore",Christopher Mullins,male,0,0,1,middle,2018,2018,https://boxrec.com/en/proboxer/861818
1181,"USA, Texas, Kingwood",Chancellor Battenberg,male,2,0,0,light,2018,2019,https://boxrec.com/en/proboxer/857202
1181,"USA, Oklahoma, Norman",Travis Nero,male,1,5,0,super welter,2017,2019,https://boxrec.com/en/proboxer/796728
1181,"USA, Oklahoma, Norman",Nathan Trepagnier,male,1,4,0,super welter,2017,2019,https://boxrec.com/en/proboxer/793883
1182,"USA, Oklahoma, Oklahoma City",Alex Saucedo,male,29,1,0,super light,2011,2019,https://boxrec.com/en/proboxer/589278
1182,"USA, Texas, Frisco",Charles Hatley,male,28,2,1,super welter,2008,2019,https://boxrec.com/en/proboxer/475912
1182,"USA, Oklahoma, Oklahoma City",Carson Jones,male,41,15,3,super welter,2004,2019,https://boxrec.com/en/proboxer/275099
1182,"USA, Texas, Baytown",Craig Baker,male,20,2,0,cruiser,2008,2019,https://boxrec.com/en/proboxer/465963
1182,"USA, Oklahoma, Oklahoma City",Aaron Morales,male,8,0,0,bantam,2018,2019,https://boxrec.com/en/proboxer/828606
1182,"USA, Oklahoma, Oklahoma City",Maurice Williams,male,7,1,0,super welter,2016,2019,https://boxrec.com/en/proboxer/768227
1182,"USA, Oklahoma, Oklahoma City",Jonathan Hill,male,2,0,0,heavy,2019,2019,https://boxrec.com/en/proboxer/894200
1182,"USA, Texas, Baytown",Neller Obregon,male,13,2,1,light heavy,2016,2019,https://boxrec.com/en/proboxer/759077
1182,"USA, Oklahoma, Oklahoma City",Twon Smith,male,3,4,0,cruiser,2017,2019,https://boxrec.com/en/proboxer/788339
1182,"USA, Oklahoma, Oklahoma City",Aaron Chavers,male,8,9,1,heavy,2015,2019,https://boxrec.com/en/proboxer/709544
1182,"USA, Oklahoma, Oklahoma City",Rob Ivins,male,5,4,0,cruiser,2016,2019,https://boxrec.com/en/proboxer/746619
1182,"USA, Oklahoma, Oklahoma City",Ruben Simental,male,2,0,0,welter,2018,2019,https://boxrec.com/en/proboxer/862644
1182,"USA, Oklahoma, Oklahoma City",Steven Crowfield,male,4,10,0,super middle,2015,2019,https://boxrec.com/en/proboxer/711660
1182,"USA, Oklahoma, Oklahoma City",Anthony Hill,male,1,27,0,super welter,2014,2019,https://boxrec.com/en/proboxer/690385
1182,"USA, Oklahoma, Oklahoma City",Nikki Burleson,female,8,1,0,bantam,2012,2018,https://boxrec.com/en/proboxer/613321
1182,"USA, Oklahoma, Oklahoma City",Raul Garcia Jr,male,1,2,0,super feather,2018,2019,https://boxrec.com/en/proboxer/844581
1182,"USA, Texas, Porter",Mark Anthony Montemayor,male,1,0,0,heavy,2018,2018,https://boxrec.com/en/proboxer/857184
1182,"USA, Oklahoma, Oklahoma City",Mistery Neal,female,0,7,0,feather,2015,2018,https://boxrec.com/en/proboxer/731325
1182,"USA, Oklahoma, Oklahoma City",Alfred Ratcliff,male,0,3,0,super welter,2017,2019,https://boxrec.com/en/proboxer/788340
1182,"USA, Oklahoma, Oklahoma City",La'Vonte Jackson,male,0,1,0,heavy,2018,2018,https://boxrec.com/en/proboxer/861969
1182,"USA, Louisiana, Baytown",Andy Brossett,male,0,1,0,,2019,2019,https://boxrec.com/en/proboxer/882898
1183,"USA, Texas, Richardson",Rufugio Montellano,male,1,0,0,super light,2019,2019,https://boxrec.com/en/proboxer/882737
1186,"USA, Texas, Channel View",Jonathan Morales,male,10,0,0,super middle,2012,2018,https://boxrec.com/en/proboxer/642646
1187,"USA, Texas, Humble",Dominick Guinn,male,37,13,1,heavy,2000,2019,https://boxrec.com/en/proboxer/15726
1187,"USA, Texas, Conroe",John Arellano,male,10,1,0,light,2010,2019,https://boxrec.com/en/proboxer/537516
1187,"USA, Texas, Humble",Jonathan Foreman,male,5,1,0,heavy,2017,2019,https://boxrec.com/en/proboxer/808692
1187,"USA, Texas, Conroe",Leslie Michael Klekotta,male,3,5,0,super welter,2017,2019,https://boxrec.com/en/proboxer/798259
1187,"USA, Texas, Galveston",Marc Perales,male,3,3,0,bantam,2010,2019,https://boxrec.com/en/proboxer/546204
1187,"USA, Texas, Conroe",Adrian Pequeno,male,1,0,0,super middle,2019,2019,https://boxrec.com/en/proboxer/877647
1187,"USA, Texas, Humble",Preston Martin Wilson,male,0,1,0,cruiser,2018,2018,https://boxrec.com/en/proboxer/858794
1191,"USA, Texas, Dallas",Maurice Hooker,male,26,1,3,super light,2011,2019,https://boxrec.com/en/proboxer/570403
1191,"USA, Texas, Dallas",Rob Brant,male,25,2,0,middle,2012,2019,https://boxrec.com/en/proboxer/609170
1191,"USA, Texas, Dallas",Vergil Ortiz Jr,male,14,0,0,welter,2016,2019,https://boxrec.com/en/proboxer/766727
1191,"USA, Texas, Dallas",Roberto Marroquin,male,28,5,1,light,2008,2019,https://boxrec.com/en/proboxer/434979
1191,"USA, Texas, Dallas",Oscar Mojica,male,12,5,1,bantam,2013,2019,https://boxrec.com/en/proboxer/643875
1191,"USA, Texas, Dallas",Ray Ximenez,male,18,2,0,feather,2010,2019,https://boxrec.com/en/proboxer/547828
1191,"USA, Texas, Dallas",Manuel Rey Rojas,male,18,3,0,light,2011,2019,https://boxrec.com/en/proboxer/570346
1191,"USA, Texas, Dallas",Alexis del Bosque,male,16,5,0,light,2013,2019,https://boxrec.com/en/proboxer/663272
1191,"USA, Texas, Dallas",Gregory Corbin,male,15,2,0,heavy,2012,2019,https://boxrec.com/en/proboxer/616873
1191,"USA, Texas, Dallas",Juan Antonio Lopez,male,15,7,0,feather,2012,2019,https://boxrec.com/en/proboxer/634959
1191,"USA, Texas, Dallas",Shurretta Metcalf,female,8,3,1,super bantam,2016,2019,https://boxrec.com/en/proboxer/744252
1191,"USA, Texas, Dallas",Hector Valdez,male,11,0,0,super bantam,2014,2019,https://boxrec.com/en/proboxer/682711
1191,"USA, Texas, Dallas",Francisco Javier Martinez,male,6,0,0,light,2017,2019,https://boxrec.com/en/proboxer/789170
1191,"USA, Texas, Dallas",Arnold Alejandro,male,11,0,0,light,2016,2019,https://boxrec.com/en/proboxer/761631
1191,"USA, Texas, Dallas",Fernando Garcia,male,12,2,0,feather,2014,2019,https://boxrec.com/en/proboxer/703421
1191,"USA, Texas, Dallas",Adrian Taylor,male,10,1,0,cruiser,2016,2019,https://boxrec.com/en/proboxer/769997
1191,"USA, Texas, Dallas",Burley Brooks,male,4,0,0,super middle,2019,2019,https://boxrec.com/en/proboxer/861686
1191,"USA, Texas, Dallas",Christopher Jones,male,6,2,0,super middle,2013,2019,https://boxrec.com/en/proboxer/647828
1191,"USA, Texas, Dallas",Angel Alejandro,male,7,0,0,feather,2017,2019,https://boxrec.com/en/proboxer/809955
1191,"USA, Texas, Dallas",Thomas Smith,male,5,7,1,super feather,2014,2019,https://boxrec.com/en/proboxer/703406
1191,"USA, Texas, Dallas",Abraham Torres,male,4,3,0,light,2013,2019,https://boxrec.com/en/proboxer/648307
1191,"USA, Texas, Dallas",Larry Smith,male,10,41,2,super middle,2009,2019,https://boxrec.com/en/proboxer/489959
1191,"USA, Texas, Dallas",Samantha Salazar,female,6,6,2,super fly,2015,2019,https://boxrec.com/en/proboxer/730105
1191,"USA, Texas, Dallas",Jarvis Shepard,male,6,0,1,super welter,2016,2019,https://boxrec.com/en/proboxer/743535
1191,"USA, Texas, Dallas",Raul Manrique Jr,male,4,0,1,super light,2019,2019,https://boxrec.com/en/proboxer/863431
1191,"USA, Texas, Dallas",Charles Clark,male,2,5,1,super feather,2016,2019,https://boxrec.com/en/proboxer/748093
1191,"USA, Texas, Dallas",Gabriel Villarreal,male,1,0,0,bantam,2018,2018,https://boxrec.com/en/proboxer/856552
1191,"USA, Texas, Dallas",Stephen Acosta,male,1,0,0,super fly,2019,2019,https://boxrec.com/en/proboxer/856553
1191,"USA, Texas, Dallas",Louis Webster,male,2,4,0,light heavy,2009,2019,https://boxrec.com/en/proboxer/519882
1191,"USA, Texas, Dallas",Carlos Dixon,male,1,14,1,middle,2012,2019,https://boxrec.com/en/proboxer/623355
1191,"USA, Texas, Dallas",Kaylin Waites,male,1,4,0,bantam,2016,2019,https://boxrec.com/en/proboxer/758263
1191,"USA, Texas, Dallas",Jason Howard,male,0,6,0,super middle,2009,2019,https://boxrec.com/en/proboxer/484475
1191,"USA, Texas, Dallas",Martin Prieto,male,0,1,0,welter,2019,2019,https://boxrec.com/en/proboxer/882739
1191,"USA, Texas, Dallas",Jonathan Robertson,male,0,1,0,super light,2019,2019,https://boxrec.com/en/proboxer/886528
1192,"USA, Texas, Spring",Miguel Flores,male,24,2,0,super feather,2009,2019,https://boxrec.com/en/proboxer/504894
1192,"USA, Texas, Carollton",Alex Rincon,male,7,0,0,super welter,2017,2019,https://boxrec.com/en/proboxer/790771
1192,"USA, Texas, Carollton",George Rincon,male,8,0,0,super light,2014,2019,https://boxrec.com/en/proboxer/682716
1192,"USA, Texas, Spring",Jose Ceja,male,1,4,2,super light,2013,2019,https://boxrec.com/en/proboxer/651071
