miles,location,name,sex,w,l,d,division,from,to,players_links
0,USA,Roberto Salas,male,5,0,0,cruiser,2016,2019,https://boxrec.com/en/proboxer/745266
0,USA,James Jackson,male,4,0,1,heavy,2017,2019,https://boxrec.com/en/proboxer/810496
0,USA,Alex Love,female,3,0,0,bantam,2018,2019,https://boxrec.com/en/proboxer/846774
0,USA,Juan Centeno,male,4,3,1,fly,2016,2019,https://boxrec.com/en/proboxer/744816
0,USA,Jordan Weeks,male,2,0,0,super middle,2019,2019,https://boxrec.com/en/proboxer/883690
0,USA,Andrew Whitfield,male,2,1,0,middle,2016,2019,https://boxrec.com/en/proboxer/774137
0,USA,Roddricus Livsey,male,4,0,0,super light,2018,2019,https://boxrec.com/en/proboxer/838706
0,USA,Vern Earwood,male,3,0,0,heavy,2018,2019,https://boxrec.com/en/proboxer/869683
0,USA,Damon Towns,male,2,0,0,welter,2019,2019,https://boxrec.com/en/proboxer/868037
0,USA,Mariah Prussia,female,2,0,0,light,2018,2019,https://boxrec.com/en/proboxer/823644
0,USA,Shawn Gates,male,1,0,0,heavy,2019,2019,https://boxrec.com/en/proboxer/866545
0,USA,Shane Fitcher,male,1,0,0,super middle,2019,2019,https://boxrec.com/en/proboxer/873076
0,USA,John Hunt,male,1,1,1,super welter,2018,2019,https://boxrec.com/en/proboxer/856237
0,USA,Lupe Jimenez,male,1,3,1,super light,2016,2019,https://boxrec.com/en/proboxer/771145
0,USA,Terence Reed,male,2,1,0,welter,2018,2019,https://boxrec.com/en/proboxer/842101
0,USA,Matt Gavers,male,1,4,1,super light,2018,2019,https://boxrec.com/en/proboxer/844760
0,USA,Josh Huber,male,1,0,0,light,2019,2019,https://boxrec.com/en/proboxer/867643
0,USA,Cory Galloway,male,1,0,0,light,2019,2019,https://boxrec.com/en/proboxer/867861
0,USA,Steele McCall,male,1,0,0,super middle,2019,2019,https://boxrec.com/en/proboxer/873077
0,USA,David Alfaro,male,1,3,0,super bantam,2017,2019,https://boxrec.com/en/proboxer/792080
0,USA,Ryan Edwards,male,1,1,0,heavy,2018,2019,https://boxrec.com/en/proboxer/842033
0,USA,Edward Torres,male,1,2,0,welter,2018,2019,https://boxrec.com/en/proboxer/829316
0,USA,Ashley Deen,female,1,0,0,feather,2018,2018,https://boxrec.com/en/proboxer/869872
0,USA,Ernest Knight,male,0,4,0,welter,2017,2019,https://boxrec.com/en/proboxer/804932
0,USA,Jarvis Ervin,male,0,5,0,cruiser,2018,2019,https://boxrec.com/en/proboxer/820035
0,USA,Allen Campoy Ruiz,male,0,2,0,heavy,2018,2019,https://boxrec.com/en/proboxer/832745
0,USA,Malik Witherspoon,male,0,2,0,super welter,2018,2019,https://boxrec.com/en/proboxer/847617
0,USA,Harold Jackson,male,0,2,0,welter,2018,2018,https://boxrec.com/en/proboxer/847749
0,USA,Adonis Grant,male,0,1,0,middle,2018,2018,https://boxrec.com/en/proboxer/860483
0,USA,Keegan Blanco,male,0,1,0,light,2019,2019,https://boxrec.com/en/proboxer/867862
0,USA,Scott Ingram,male,0,1,0,light,2019,2019,https://boxrec.com/en/proboxer/867863
0,USA,Heather Denny,female,0,1,0,feather,2018,2018,https://boxrec.com/en/proboxer/869873
0,USA,Eddie Sisneros,male,0,1,0,heavy,2018,2018,https://boxrec.com/en/proboxer/869875
0,USA,Sammy Katz,male,0,1,0,super feather,2019,2019,https://boxrec.com/en/proboxer/873074
0,USA,Damion Gaskin,male,0,2,0,welter,2019,2019,https://boxrec.com/en/proboxer/873747
0,USA,Alex Rivera,male,0,1,0,light,2019,2019,https://boxrec.com/en/proboxer/879108
5,"USA, Virginia, Norfolk",Frankie Filippone,male,26,8,1,light heavy,2008,2018,https://boxrec.com/en/proboxer/444276
5,"USA, Virginia, Norfolk",Nicholas Sullivan,male,2,0,0,,2019,2019,https://boxrec.com/en/proboxer/860803
8,"USA, Virginia, Newport News",Jerry Forrest,male,26,3,0,heavy,2012,2019,https://boxrec.com/en/proboxer/622344
8,"USA, Virginia, Newport News",Jeremiah Wiggins,male,10,7,1,super welter,2009,2018,https://boxrec.com/en/proboxer/481550
8,"USA, Virginia, Newport News",Anthony Overby,male,0,11,0,super welter,2017,2019,https://boxrec.com/en/proboxer/786989
10,"USA, Virginia, Hampton",Leon Gittens,male,2,0,0,light heavy,2018,2019,https://boxrec.com/en/proboxer/845595
13,"USA, Virginia, Chesapeake",Reggie Barnett Jr,male,6,2,0,super feather,2015,2019,https://boxrec.com/en/proboxer/735049
13,"USA, Virginia, Chesapeake",Keith Robertson,male,7,0,1,cruiser,2013,2019,https://boxrec.com/en/proboxer/640478
13,"USA, Virginia, Chesapeake",Michaele Nogue,female,1,1,0,super light,2019,2019,https://boxrec.com/en/proboxer/857680
19,"USA, Virginia, Virginia Beach",Montez Brown,male,8,1,0,cruiser,2016,2019,https://boxrec.com/en/proboxer/760809
19,"USA, Virginia, Virginia Beach",Jason Wahr,male,4,15,3,middle,2007,2018,https://boxrec.com/en/proboxer/383790
19,"USA, Virginia, Virginia Beach",Ryan Parker,male,0,1,0,heavy,2019,2019,https://boxrec.com/en/proboxer/888369
40,"USA, North Carolina, Hobbsville",Roger Belch,male,13,1,0,light,2015,2019,https://boxrec.com/en/proboxer/728226
75,"USA, Virginia, Richmond",Immanuwel Aleem,male,18,1,2,middle,2012,2019,https://boxrec.com/en/proboxer/618233
75,"USA, Virginia, Richmond",Nigel Fennell,male,5,0,0,welter,2018,2019,https://boxrec.com/en/proboxer/847479
75,"USA, Virginia, Richmond",Rafiq Muhammad,male,4,0,0,super welter,2016,2019,https://boxrec.com/en/proboxer/748802
75,"USA, Virginia, Richmond",Gabriel Braxton,male,2,28,0,super light,2013,2019,https://boxrec.com/en/proboxer/671340
75,"USA, Virginia, Richmond",Tyshae Ferguson,male,0,10,0,light,2013,2019,https://boxrec.com/en/proboxer/659413
102,"USA, Maryland, Lusby",Nathaniel Lee Davis,male,1,1,0,super feather,2019,2019,https://boxrec.com/en/proboxer/871457
103,"USA, North Carolina, Rocky Mount",Henry Mercer,male,2,19,0,light heavy,2013,2019,https://boxrec.com/en/proboxer/671190
103,"USA, North Carolina, Rocky Mount",Bryan Canady,male,0,5,0,heavy,2017,2019,https://boxrec.com/en/proboxer/805972
103,"USA, North Carolina, Rocky Mount",Khalil Brown,male,0,4,0,heavy,2018,2019,https://boxrec.com/en/proboxer/849743
105,"USA, North Carolina, Greenville",Jacquan Townes,male,7,1,0,cruiser,2016,2019,https://boxrec.com/en/proboxer/777847
111,"USA, Maryland, Salisbury",Tahir Thomas,male,4,2,1,super middle,2010,2019,https://boxrec.com/en/proboxer/533160
115,"USA, Virginia, Fredericksburg",Victor Miles,male,1,0,0,middle,2019,2019,https://boxrec.com/en/proboxer/870642
117,"USA, Maryland, Cambridge",Dontre King,male,7,21,2,super welter,2008,2019,https://boxrec.com/en/proboxer/456424
118,"USA, North Carolina, Wilson",Kelvin King,male,5,0,1,welter,2017,2019,https://boxrec.com/en/proboxer/818362
118,"USA, North Carolina, Wilson",Austin Bryant,male,4,2,0,cruiser,2016,2018,https://boxrec.com/en/proboxer/760249
118,"USA, North Carolina, Wilson",Lamarco Ellis,male,2,6,0,heavy,2016,2019,https://boxrec.com/en/proboxer/764895
118,"USA, North Carolina, Wilson",Demonte Cherry,male,1,7,0,heavy,2016,2019,https://boxrec.com/en/proboxer/761173
118,"USA, North Carolina, Wilson",Marcell Sams Jr,male,0,2,0,cruiser,2015,2018,https://boxrec.com/en/proboxer/718608
118,"USA, North Carolina, Wilson",Damian Archer,male,0,4,0,super welter,2015,2019,https://boxrec.com/en/proboxer/723792
118,"USA, North Carolina, Wilson",Daron Hester,male,0,6,0,super welter,2016,2018,https://boxrec.com/en/proboxer/750584
118,"USA, North Carolina, Wilson",Molique Artis,male,0,7,0,super light,2016,2019,https://boxrec.com/en/proboxer/761170
118,"USA, North Carolina, Wilson",Khadija Sanders,female,0,5,0,feather,2016,2019,https://boxrec.com/en/proboxer/775471
118,"USA, North Carolina, Wilson",Marquis Johnson,male,0,4,0,super light,2016,2018,https://boxrec.com/en/proboxer/775474
118,"USA, North Carolina, Wilson",Demetrius Shaw,male,0,4,0,heavy,2017,2018,https://boxrec.com/en/proboxer/796657
118,"USA, North Carolina, Wilson",Ronald Alston,male,0,3,0,super bantam,2017,2019,https://boxrec.com/en/proboxer/797214
118,"USA, North Carolina, Wilson",Shaquille Harris,male,0,3,0,super feather,2017,2019,https://boxrec.com/en/proboxer/800421
118,"USA, North Carolina, Wilson",Knowledge Robinson Speight,male,0,5,0,bantam,2017,2019,https://boxrec.com/en/proboxer/818349
118,"USA, North Carolina, Wilson",Geral Thomas,male,0,4,0,super feather,2017,2019,https://boxrec.com/en/proboxer/821077
118,"USA, North Carolina, Wilson",Kwatevion Nijee Isom,male,0,3,0,super light,2018,2019,https://boxrec.com/en/proboxer/826937
118,"USA, North Carolina, Wilson",Terrance Brown,male,0,3,0,welter,2018,2019,https://boxrec.com/en/proboxer/834396
118,"USA, North Carolina, Wilson",Styris Horne,female,0,2,0,heavy,2018,2019,https://boxrec.com/en/proboxer/844713
118,"USA, North Carolina, Wilson",Rashio Evans,male,0,2,0,super light,2018,2019,https://boxrec.com/en/proboxer/844716
118,"USA, North Carolina, Wilson",Thomas Hobbs,male,0,2,0,heavy,2018,2019,https://boxrec.com/en/proboxer/846014
118,"USA, North Carolina, Wilson",Marquious Joyner,male,0,2,0,middle,2018,2019,https://boxrec.com/en/proboxer/857751
118,"USA, North Carolina, Wilson",Nigel Farmer,male,0,3,0,middle,2018,2019,https://boxrec.com/en/proboxer/857752
118,"USA, North Carolina, Wilson",Joshuan Cox,male,0,1,0,light heavy,2018,2018,https://boxrec.com/en/proboxer/857753
118,"USA, North Carolina, Wilson",Raekwon Williams,male,0,3,0,super feather,2018,2019,https://boxrec.com/en/proboxer/857754
118,"USA, North Carolina, Wilson",Chante Bowens,male,0,4,0,feather,2018,2019,https://boxrec.com/en/proboxer/861116
118,"USA, North Carolina, Wilson",Paris Liles,male,0,1,0,heavy,2019,2019,https://boxrec.com/en/proboxer/866700
118,"USA, North Carolina, Wilson",Jerome Woods,male,0,2,0,super middle,2019,2019,https://boxrec.com/en/proboxer/866701
118,"USA, North Carolina, Wilson",Tjuan Wooten,male,0,1,0,light,2019,2019,https://boxrec.com/en/proboxer/866702
118,"USA, North Carolina, Wilson",Travoris Lofton,male,0,1,0,cruiser,2019,2019,https://boxrec.com/en/proboxer/869413
118,"USA, North Carolina, Wilson",Na'ledge Barnes,male,0,2,0,middle,2019,2019,https://boxrec.com/en/proboxer/876189
120,"USA, Virginia, Louisa",Corey Champion,male,1,0,0,welter,2019,2019,https://boxrec.com/en/proboxer/888370
123,"USA, Maryland, Waldorf",Mike Reed,male,25,2,0,super light,2013,2019,https://boxrec.com/en/proboxer/639617
123,"USA, Maryland, Waldorf",Rashad Kilpatrick,male,5,0,0,welter,2017,2019,https://boxrec.com/en/proboxer/801436
123,"USA, North Carolina, Black Creek",Brandon Ruffin,male,0,4,0,super light,2016,2019,https://boxrec.com/en/proboxer/746012
123,"USA, Maryland, Waldorf",Kwasi Horton,male,0,2,0,heavy,2018,2018,https://boxrec.com/en/proboxer/849813
129,"USA, Maryland, Accokeek",Jarrett Hurd,male,23,1,0,super welter,2012,2019,https://boxrec.com/en/proboxer/625960
131,"USA, North Carolina, Kinston",Ike Ezeji,male,7,24,1,super welter,1998,2019,https://boxrec.com/en/proboxer/26754
131,"USA, North Carolina, Kinston",Terrance Harris,male,0,2,0,super light,2017,2019,https://boxrec.com/en/proboxer/801084
132,"USA, Virginia, Woodbridge",Jose Mario Flores,male,8,2,2,cruiser,2010,2019,https://boxrec.com/en/proboxer/549141
133,"USA, Maryland, Clinton",Kareem Martin,male,13,2,1,super welter,2014,2019,https://boxrec.com/en/proboxer/679207
133,"USA, Maryland, Clinton",Danny Kelly,male,10,3,1,heavy,2012,2019,https://boxrec.com/en/proboxer/622343
133,"USA, Maryland, Fort Washington",Fatiou Fassinou,male,28,12,3,super feather,2001,2019,https://boxrec.com/en/proboxer/289868
133,"USA, Maryland, Fort Washington",Marquel Johns,male,7,2,2,feather,2013,2019,https://boxrec.com/en/proboxer/672317
133,"USA, Virginia, Coebum",Chandler Cole,male,1,0,0,heavy,2019,2019,https://boxrec.com/en/proboxer/880038
133,"USA, Maryland, Fort Washington",Leonor Alcantara Perez,male,3,0,0,super middle,2017,2019,https://boxrec.com/en/proboxer/788582
133,"USA, Maryland, Clinton",Jay Stancil III,male,1,0,0,,2019,2019,https://boxrec.com/en/proboxer/883628
133,"USA, Virginia, Coebum",Adam Mays,male,0,2,1,super middle,2013,2019,https://boxrec.com/en/proboxer/662433
135,"USA, Maryland, Upper Marlboro",Lamont Roach,male,19,0,1,super feather,2014,2019,https://boxrec.com/en/proboxer/683920
135,"USA, Maryland, Upper Marlboro",Mykal Fox,male,21,1,0,welter,2014,2019,https://boxrec.com/en/proboxer/680112
135,"USA, Maryland, Upper Marlboro",Alantez Fox,male,26,1,1,middle,2010,2019,https://boxrec.com/en/proboxer/540128
135,"USA, Maryland, Upper Marlboro",Mike Balogun,male,15,0,0,heavy,2014,2019,https://boxrec.com/en/proboxer/702744
135,"USA, Maryland, Upper Marlboro",Charles Johnson,male,1,4,0,cruiser,2018,2019,https://boxrec.com/en/proboxer/841197
135,"USA, North Carolina, La Grange",Ricardo Vasquez Becerril,male,0,2,0,super middle,2019,2019,https://boxrec.com/en/proboxer/883602
137,"USA, Maryland, Oxon Hill",Anthony Peterson,male,37,1,1,super light,2004,2019,https://boxrec.com/en/proboxer/272078
137,"USA, Maryland, Oxon Hill",Alexander Johnson,male,17,4,1,light heavy,2007,2018,https://boxrec.com/en/proboxer/420062
138,"USA, Virginia, Alexandria",Shakur Stevenson,male,13,0,0,feather,2017,2019,https://boxrec.com/en/proboxer/790719
138,"USA, North Carolina, Goldsboro",Dewayne Beamon,male,16,2,2,super fly,2015,2019,https://boxrec.com/en/proboxer/728230
138,"USA, Maryland, Temple Hills",D'Mitrius Ballard,male,20,0,0,super middle,2013,2019,https://boxrec.com/en/proboxer/640497
138,"USA, Virginia, Alexandria",Brandon Quarles,male,21,5,1,middle,2010,2019,https://boxrec.com/en/proboxer/538527
138,"USA, Maryland, Forestville",Jairus Gladney,male,1,1,0,heavy,2006,2018,https://boxrec.com/en/proboxer/349235
138,"USA, North Carolina, Goldsboro",Isiah Florence,male,0,4,0,super feather,2016,2019,https://boxrec.com/en/proboxer/769833
139,"USA, Maryland, Suitland",Lenwood Dozier,male,10,24,3,middle,2008,2019,https://boxrec.com/en/proboxer/435231
139,"USA, Maryland, Suitland",Malik Loften,male,4,1,0,feather,2017,2019,https://boxrec.com/en/proboxer/799485
139,"USA, Maryland, Suitland",Davonn Boone,male,1,1,0,middle,2019,2019,https://boxrec.com/en/proboxer/873679
140,"USA, Maryland, District Heights",Keeshawn Williams,male,6,0,1,welter,2017,2019,https://boxrec.com/en/proboxer/816785
140,"USA, Maryland, District Heights",Renaldo Gaines,male,10,2,0,super feather,2012,2019,https://boxrec.com/en/proboxer/605403
141,"USA, Maryland, Largo",Dominic Wade,male,20,1,0,light heavy,2009,2019,https://boxrec.com/en/proboxer/488033
142,"USA, Maryland, Capitol Heights",Gary Allen Russell Jr,male,30,1,0,feather,2009,2019,https://boxrec.com/en/proboxer/479775
142,"USA, Maryland, Capitol Heights",Gary Antuanne Russell,male,12,0,0,super light,2017,2019,https://boxrec.com/en/proboxer/789597
142,"USA, Virginia, Culpeper",Roque Zapata,male,6,2,5,super welter,2016,2019,https://boxrec.com/en/proboxer/750961
142,"USA, Maryland",Aaron Anderson,male,6,0,0,middle,2016,2019,https://boxrec.com/en/proboxer/781986
142,"USA, Maryland, Seat Pleasant",James Early,male,4,5,0,super feather,2016,2019,https://boxrec.com/en/proboxer/740854
143,"USA, District of Columbia, Washington",Marcus Bates,male,10,1,1,super bantam,2013,2019,https://boxrec.com/en/proboxer/654866
143,"USA, District of Columbia, Washington",DeMarcus Corley,male,51,33,1,welter,1996,2019,https://boxrec.com/en/proboxer/19266
143,"USA, District of Columbia, Washington",Dusty Hernandez Harrison,male,33,0,1,middle,2011,2019,https://boxrec.com/en/proboxer/571019
143,"USA, District of Columbia, Washington",Gary Antonio Russell,male,16,0,0,bantam,2015,2019,https://boxrec.com/en/proboxer/708440
143,"USA, District of Columbia, Washington",Tiara Brown,female,9,0,0,super feather,2016,2019,https://boxrec.com/en/proboxer/775470
143,"USA, District of Columbia, Washington",Jordan White,male,9,1,0,super feather,2015,2019,https://boxrec.com/en/proboxer/740167
143,"USA, District of Columbia, Washington",Shyngyskhan Tazhibay,male,9,0,0,welter,2015,2019,https://boxrec.com/en/proboxer/723195
143,"USA, District of Columbia, Washington",Gregory Clark,male,4,4,1,super middle,2016,2019,https://boxrec.com/en/proboxer/776458
143,"USA, District of Columbia, Washington",Daron Williams,male,8,1,0,super bantam,2015,2019,https://boxrec.com/en/proboxer/720835
143,"USA, District of Columbia, Washington",Antonio Magruder,male,5,0,1,welter,2013,2018,https://boxrec.com/en/proboxer/651715
143,"USA, District of Columbia, Washington",Cornell Hines,male,5,1,0,welter,2017,2019,https://boxrec.com/en/proboxer/793677
143,"USA, District of Columbia, Washington",Lamont White,male,1,19,0,super light,2016,2019,https://boxrec.com/en/proboxer/763738
143,"USA, District of Columbia, Washington",Nathaniel Copeland,male,1,1,0,heavy,2018,2019,https://boxrec.com/en/proboxer/860970
143,"USA, District of Columbia, Washington",Daryl Fenton,male,1,5,1,super middle,2014,2019,https://boxrec.com/en/proboxer/706306
143,"USA, District of Columbia, Washington",Dameron Kirby,male,0,4,0,light heavy,2017,2019,https://boxrec.com/en/proboxer/808890
143,"USA, District of Columbia, Washington",Taurean Venable,male,0,1,0,welter,2019,2019,https://boxrec.com/en/proboxer/874896
144,"USA, Maryland, Glenarden",Dravontay Speed Rawls,male,13,1,1,light,2015,2019,https://boxrec.com/en/proboxer/718270
144,"USA, Virginia, Arlington",Filip Stankovic,male,6,1,0,super middle,2017,2019,https://boxrec.com/en/proboxer/804434
144,"USA, Virginia, Arlington",Justin Ridgway,male,9,2,0,cruiser,2009,2019,https://boxrec.com/en/proboxer/488288
145,"USA, Maryland, Bowie",Greg Outlaw,male,8,0,0,super light,2016,2019,https://boxrec.com/en/proboxer/775149
145,"USA, Maryland, Landover",Tyrek Irby,male,9,0,0,welter,2016,2019,https://boxrec.com/en/proboxer/775473
145,"USA, Maryland, Bowie",Marlon Bolen,male,2,0,0,welter,2018,2019,https://boxrec.com/en/proboxer/833436
145,"USA, Maryland, Annapolis",Karl Garcia Butler,male,0,2,0,welter,2017,2019,https://boxrec.com/en/proboxer/801740
146,"USA, Maryland, Hyattsville",Cobia Breedy,male,14,0,0,feather,2014,2019,https://boxrec.com/en/proboxer/700925
146,"USA, Maryland, Hyattsville",Patrick Harris,male,18,0,0,super light,2014,2019,https://boxrec.com/en/proboxer/688163
148,"USA, North Carolina, Raleigh",Max Alexander,male,17,8,2,cruiser,2004,2018,https://boxrec.com/en/proboxer/265756
148,"USA, North Carolina, Raleigh",Joel Caudle,male,8,4,2,heavy,2015,2019,https://boxrec.com/en/proboxer/727175
148,"USA, North Carolina, Raleigh",Javon Campbell,male,1,1,0,feather,2019,2019,https://boxrec.com/en/proboxer/875574
148,"USA, North Carolina, Raleigh",Robert Reid,male,0,1,0,super light,2018,2018,https://boxrec.com/en/proboxer/856843
148,"USA, Maryland, Arnold",Blaze Fidler Hernandez,male,0,0,1,super feather,2019,2019,https://boxrec.com/en/proboxer/897807
149,"USA, Maryland, Greenbelt",Sam Crossed,male,8,0,0,cruiser,2015,2018,https://boxrec.com/en/proboxer/737067
150,"USA, Virginia, Haymarket",Juan Rodriguez,male,8,16,1,welter,2008,2019,https://boxrec.com/en/proboxer/475769
151,"USA, Maryland, Bethesda",Alexandru Marin,male,18,0,0,super fly,2013,2019,https://boxrec.com/en/proboxer/656440
151,"USA, Maryland, Silver Spring",Sulaiman Segawa,male,13,2,0,super feather,2013,2019,https://boxrec.com/en/proboxer/647067
151,"USA, Maryland, Silver Spring",Edward Kakembo,male,10,8,0,feather,2013,2019,https://boxrec.com/en/proboxer/646974
151,"USA, Maryland, Silver Spring",George Harris,male,4,0,0,heavy,2018,2019,https://boxrec.com/en/proboxer/849161
151,"USA, Maryland, Silver Spring",Dieumerci Nzau,male,11,10,0,super light,2009,2019,https://boxrec.com/en/proboxer/532319
151,"USA, Maryland, Silver Spring",Benjamin Borteye,male,4,8,0,welter,2008,2019,https://boxrec.com/en/proboxer/473852
152,"USA, North Carolina, Willow Springs",Jose Ibarra,male,3,0,0,super feather,2018,2018,https://boxrec.com/en/proboxer/844927
152,"USA, North Carolina, Willow Springs",Juan Ibarra,male,0,2,0,feather,2019,2019,https://boxrec.com/en/proboxer/881152
153,"USA, Maryland, Odenton",David Veras Pena,male,0,2,1,super light,2018,2019,https://boxrec.com/en/proboxer/836889
153,"USA, Maryland, Odenton",Dustin Michael Lanning,male,0,1,0,welter,2019,2019,https://boxrec.com/en/proboxer/887529
154,"USA, North Carolina, Durham",Marklin Bailey,male,6,5,0,welter,2016,2019,https://boxrec.com/en/proboxer/760114
154,"USA, North Carolina, Durham",Pablo Velez,male,7,4,1,super middle,2013,2019,https://boxrec.com/en/proboxer/641671
154,"USA, North Carolina, Durham",Vernon Alston,male,8,8,1,light,2010,2019,https://boxrec.com/en/proboxer/536390
155,"USA, Maryland, Laurel",Demond Nicholson,male,22,3,1,super middle,2013,2019,https://boxrec.com/en/proboxer/657991
156,"USA, Montana, Laurel",David Dunn,male,1,0,0,,2019,2019,https://boxrec.com/en/proboxer/892403
157,"USA, Maryland, Severn",Sherman Artis Jr,male,3,4,0,heavy,2010,2019,https://boxrec.com/en/proboxer/539660
158,"USA, Maryland, Rockville",Francisco Bustos,male,9,1,0,middle,2015,2019,https://boxrec.com/en/proboxer/722909
158,"USA, Virginia, Lynchburg",Jessi Hackett,male,1,2,0,welter,2018,2019,https://boxrec.com/en/proboxer/832081
158,"USA, Virginia, Lynchburg",Joshua Robertson,male,7,12,0,cruiser,2010,2018,https://boxrec.com/en/proboxer/533917
158,"USA, Virginia, Lynchburg",Princess Hairston,female,1,0,0,heavy,2019,2019,https://boxrec.com/en/proboxer/888367
158,"USA, Virginia, Lynchburg",Owen Hylton,male,1,0,0,bantam,2019,2019,https://boxrec.com/en/proboxer/888364
158,"USA, Virginia, Lynchburg",Tomas Williams,male,0,0,2,super middle,2017,2019,https://boxrec.com/en/proboxer/806698
158,"USA, Virginia, Lynchburg",William Coles,male,0,0,1,super middle,2019,2019,https://boxrec.com/en/proboxer/875305
158,"USA, Virginia, Lynchburg",Stanley Megginson,male,0,1,0,middle,2019,2019,https://boxrec.com/en/proboxer/875306
158,"USA, Virginia, Lynchburg",William Wilson,male,0,1,0,super welter,2019,2019,https://boxrec.com/en/proboxer/888368
159,"USA, Maryland, Hanover",Justin Sykes,male,0,1,0,middle,2019,2019,https://boxrec.com/en/proboxer/863842
162,"USA, Virginia, Ashburn",Tori Nelson,female,20,2,3,middle,2010,2019,https://boxrec.com/en/proboxer/536246
162,"USA, Maryland, Elkridge",Dante Cox,male,4,1,0,light,2017,2019,https://boxrec.com/en/proboxer/801434
162,"USA, Virginia, Ashburn",Allan Johnson,male,1,1,0,,2019,2019,https://boxrec.com/en/proboxer/887809
163,"USA, Maryland, Columbia",Ashton Sykes,male,4,3,0,super middle,2017,2019,https://boxrec.com/en/proboxer/809122
163,"USA, Maryland, Columbia",Kwame Ritter,male,4,0,0,cruiser,2014,2019,https://boxrec.com/en/proboxer/700134
164,"USA, North Carolina, East Orange",Omar Ethridge,male,3,2,1,feather,2015,2019,https://boxrec.com/en/proboxer/721682
164,"USA, Delaware, Dover",Eduardo Garcia,male,3,0,0,welter,2016,2018,https://boxrec.com/en/proboxer/781641
165,"USA, Maryland, Montgomery Village",Gerome Quigley Jr,male,18,1,0,welter,2013,2019,https://boxrec.com/en/proboxer/664983
165,"USA, Maryland, Dundalk",Dorian Bostic,male,1,0,0,,2019,2019,https://boxrec.com/en/proboxer/873870
166,"USA, Maryland, Catonsville",Luther Smith,male,11,5,0,cruiser,2015,2019,https://boxrec.com/en/proboxer/708363
166,"USA, Maryland, Germantown",Ebrima Jawara,male,3,1,0,feather,2019,2019,https://boxrec.com/en/proboxer/860263
166,"USA, Virginia, Fishersville",Dalton Bamburg,male,4,1,0,welter,2017,2019,https://boxrec.com/en/proboxer/804524
167,"USA, Maryland, Baltimore",Gervonta Davis,male,22,0,0,super feather,2013,2019,https://boxrec.com/en/proboxer/643387
167,"USA, Maryland, Baltimore",Malik Hawkins,male,17,0,0,welter,2014,2019,https://boxrec.com/en/proboxer/700136
167,"USA, Maryland, Baltimore",Travis Reeves,male,17,4,2,light heavy,2013,2019,https://boxrec.com/en/proboxer/646379
167,"USA, Maryland, Baltimore",Glenn Dezurn,male,10,2,1,super bantam,2013,2019,https://boxrec.com/en/proboxer/653873
167,"USA, Maryland, Baltimore",Samuel Kotey Neequaye,male,23,2,0,super light,2009,2019,https://boxrec.com/en/proboxer/525517
167,"USA, Maryland, Baltimore",Franchon Crews Dezurn,female,6,1,0,super middle,2016,2019,https://boxrec.com/en/proboxer/778621
167,"USA, Maryland, Baltimore",Jahmal Dyer,male,9,2,0,super feather,2017,2019,https://boxrec.com/en/proboxer/794138
167,"USA, Maryland, Baltimore",Hasim Rahman Jr,male,8,0,0,heavy,2017,2019,https://boxrec.com/en/proboxer/790284
167,"USA, Maryland, Baltimore",Jessie Nicklow,male,27,10,3,super middle,2006,2019,https://boxrec.com/en/proboxer/343128
167,"USA, Maryland, Baltimore",Nick Kisner,male,21,5,1,heavy,2010,2019,https://boxrec.com/en/proboxer/524367
167,"USA, Maryland, Baltimore",Kevin Womack Jr,male,9,19,4,super welter,2011,2019,https://boxrec.com/en/proboxer/587033
167,"USA, Maryland, Baltimore",Lorenzo Simpson,male,5,0,0,super middle,2018,2019,https://boxrec.com/en/proboxer/857429
167,"USA, Maryland, Baltimore",Mack Allison IV,male,10,3,1,light,2016,2019,https://boxrec.com/en/proboxer/764282
167,"USA, Maryland, Baltimore",Devin Butcher,male,6,4,0,cruiser,2009,2019,https://boxrec.com/en/proboxer/514604
167,"USA, Maryland, Baltimore",Malik Warren,male,2,0,0,,2019,2019,https://boxrec.com/en/proboxer/874884
167,"USA, Maryland, Baltimore",Destiny Day-Owens,female,1,0,0,super light,2019,2019,https://boxrec.com/en/proboxer/863843
167,"USA, Maryland, Ellicott City",Champ Moultire,male,0,1,0,,2019,2019,https://boxrec.com/en/proboxer/883522
167,"USA, Maryland, Baltimore",Antonio Dunton-El   Jr,male,0,0,1,,2019,2019,https://boxrec.com/en/proboxer/897891
168,"USA, Virginia, Leesburg",Joe Jones,male,11,1,0,cruiser,2013,2019,https://boxrec.com/en/proboxer/664616
168,"USA, Virginia, Leesburg",Calvin Mends,male,1,0,0,,2019,2019,https://boxrec.com/en/proboxer/849073
168,"USA, Virginia, Leesburg",DeJon Corley,male,0,1,0,light,2019,2019,https://boxrec.com/en/proboxer/884373
170,"USA, Maryland, Clarksburg",Mark Duncan,male,3,2,0,middle,2018,2019,https://boxrec.com/en/proboxer/847540
170,"USA, North Carolina, Clinton",Chandler Whitfield,male,0,1,0,heavy,2018,2018,https://boxrec.com/en/proboxer/860942
171,"USA, Virginia, Danville",Joe Cusumano,male,18,3,0,heavy,2010,2019,https://boxrec.com/en/proboxer/543200
171,"USA, Virginia, Danville",Ronnie Glass,male,9,1,1,light heavy,2006,2019,https://boxrec.com/en/proboxer/367859
171,"USA, Virginia, Danville",James Smith,male,0,2,0,middle,2016,2018,https://boxrec.com/en/proboxer/758840
