,name,wins,draws,losses,location,division,average_weight,average_opponent_weight,opp_points,bouts_fought,win by knockout,win by split decision,win by technical knockout,win by unanimous decision,sex,total_points
0,Roberto Salas,5.0,0.0,0.0,USA,cruiser,199.6,206.8,0.0,5.0,2.0,0.0,2.0,1.0,male,50.0
1,James Jackson,4.0,1.0,0.0,USA,heavy,231.75,266.4,3.0,5.0,1.0,0.0,1.0,2.0,male,48.0
2,Alex Love,3.0,0.0,0.0,USA,bantam,116.75,118.0,0.0,3.0,1.0,0.0,1.0,1.0,female,30.0
3,Juan Centeno,4.0,1.0,3.0,USA,fly,115.35,112.95,1.875,8.0,1.0,1.0,0.0,1.0,male,22.30357142857143
4,Jordan Weeks,2.0,0.0,0.0,USA,super middle,164.75,162.25,7.5,2.0,0.0,1.0,0.0,1.0,male,27.5
5,Andrew Whitfield,2.0,0.0,1.0,USA,middle,162.58333333333334,156.625,0.0,3.0,0.0,0.0,2.0,0.0,male,10.0
6,Roddricus Livsey,4.0,0.0,0.0,USA,super light,140.6875,141.1875,0.0,4.0,0.0,0.0,3.0,1.0,male,40.0
7,Vern Earwood,3.0,0.0,0.0,USA,heavy,260.4166666666667,289.0,0.0,3.0,1.0,0.0,2.0,0.0,male,30.0
8,Damon Towns,2.0,0.0,0.0,USA,welter,149.0,147.0,0.0,2.0,1.0,0.0,1.0,0.0,male,20.0
9,Mariah Prussia,2.0,0.0,0.0,USA,light,135.5,132.5,0.0,2.0,0.0,0.0,0.0,0.0,female,20.0
10,Shawn Gates,1.0,0.0,0.0,USA,heavy,303.0,284.0,0.0,1.0,0.0,0.0,0.0,0.0,male,10.0
11,Shane Fitcher,1.0,0.0,0.0,USA,super middle,,,0.0,1.0,0.0,0.0,0.0,0.0,male,10.0
12,John Hunt,1.0,1.0,1.0,USA,super welter,148.66666666666666,148.25,0.0,3.0,0.0,0.0,1.0,0.0,male,5.0
13,Lupe Jimenez,1.0,1.0,3.0,USA,super light,133.4,132.45,0.0,5.0,1.0,0.0,0.0,0.0,male,-15.0
14,Terence Reed,2.0,0.0,1.0,USA,welter,148.41666666666666,150.75,5.0,3.0,0.0,0.0,1.0,1.0,male,15.0
15,Matt Gavers,1.0,1.0,4.0,USA,super light,140.54166666666666,140.33333333333334,2.5,6.0,0.0,0.0,0.0,1.0,male,-22.5
16,Josh Huber,1.0,0.0,0.0,USA,light,,,0.0,1.0,0.0,0.0,0.0,1.0,male,10.0
17,Cory Galloway,1.0,0.0,0.0,USA,light,,,0.0,1.0,0.0,0.0,0.0,1.0,male,10.0
18,Steele McCall,1.0,0.0,0.0,USA,super middle,,,0.0,1.0,0.0,0.0,0.0,1.0,male,10.0
19,David Alfaro,1.0,0.0,3.0,USA,super bantam,119.0,120.4375,3.75,4.0,0.0,0.0,0.0,1.0,male,-16.25
20,Ryan Edwards,1.0,0.0,1.0,USA,heavy,252.5,229.0,0.0,2.0,0.0,0.0,0.0,1.0,male,0.0
21,Edward Torres,1.0,0.0,2.0,USA,welter,140.5,141.41666666666666,5.0,3.0,0.0,1.0,0.0,0.0,male,-5.0
22,Ashley Deen,1.0,0.0,0.0,USA,feather,126.0,125.0,0.0,1.0,0.0,1.0,0.0,0.0,female,10.0
23,Ernest Knight,0.0,0.0,4.0,USA,welter,136.25,136.0625,0.0,4.0,0.0,0.0,0.0,0.0,male,-40.0
24,Jarvis Ervin,0.0,0.0,5.0,USA,cruiser,173.55,172.55,0.0,5.0,0.0,0.0,0.0,0.0,male,-50.0
25,Allen Campoy Ruiz,0.0,0.0,2.0,USA,heavy,230.25,201.75,0.0,2.0,0.0,0.0,0.0,0.0,male,-20.0
26,Malik Witherspoon,0.0,0.0,2.0,USA,super welter,158.5,157.25,0.0,2.0,0.0,0.0,0.0,0.0,male,-20.0
27,Harold Jackson,0.0,0.0,2.0,USA,welter,146.0,142.0,0.0,2.0,0.0,0.0,0.0,0.0,male,-20.0
28,Adonis Grant,0.0,0.0,1.0,USA,middle,155.5,154.25,0.0,1.0,0.0,0.0,0.0,0.0,male,-10.0
29,Keegan Blanco,0.0,0.0,1.0,USA,light,,,0.0,1.0,0.0,0.0,0.0,0.0,male,-10.0
30,Scott Ingram,0.0,0.0,1.0,USA,light,,,15.0,1.0,0.0,0.0,0.0,0.0,male,5.0
31,Heather Denny,0.0,0.0,1.0,USA,feather,125.0,126.0,0.0,1.0,0.0,0.0,0.0,0.0,female,-10.0
32,Eddie Sisneros,0.0,0.0,1.0,USA,heavy,376.0,262.0,0.0,1.0,0.0,0.0,0.0,0.0,male,-10.0
33,Sammy Katz,0.0,0.0,1.0,USA,super feather,,,0.0,1.0,0.0,0.0,0.0,0.0,male,-10.0
34,Damion Gaskin,0.0,0.0,2.0,USA,welter,144.0,144.5,0.0,2.0,0.0,0.0,0.0,0.0,male,-20.0
35,Alex Rivera,0.0,0.0,1.0,USA,light,134.0,134.5,0.0,1.0,0.0,0.0,0.0,0.0,male,-10.0
36,Frankie Filippone,26.0,1.0,8.0,"USA, Virginia, Norfolk",light heavy,168.05714285714285,169.21212121212122,13.714285714285714,35.0,2.0,0.0,7.0,16.0,male,204.53007518796994
37,Nicholas Sullivan,2.0,0.0,0.0,"USA, Virginia, Norfolk",unknown,133.25,133.625,0.0,2.0,1.0,0.0,0.0,1.0,male,20.0
38,Jerry Forrest,26.0,0.0,3.0,"USA, Virginia, Newport News",heavy,230.35714285714286,231.0462962962963,18.620689655172413,29.0,8.0,0.0,10.0,5.0,male,289.048842147841
39,Jeremiah Wiggins,10.0,1.0,7.0,"USA, Virginia, Newport News",super welter,155.68055555555554,155.3235294117647,9.166666666666666,18.0,3.0,0.0,2.0,4.0,male,44.166666666666664
40,Anthony Overby,0.0,0.0,11.0,"USA, Virginia, Newport News",super welter,151.15384615384616,150.71153846153845,6.818181818181818,11.0,0.0,0.0,0.0,0.0,male,-103.18181818181819
41,Leon Gittens,2.0,0.0,0.0,"USA, Virginia, Hampton",light heavy,172.0,171.0,7.5,2.0,0.0,0.0,1.0,1.0,male,27.5
42,Reggie Barnett Jr,6.0,0.0,2.0,"USA, Virginia, Chesapeake",super feather,130.375,131.15625,7.5,8.0,1.0,0.0,1.0,2.0,male,83.26623376623377
43,Keith Robertson,7.0,1.0,0.0,"USA, Virginia, Chesapeake",cruiser,193.875,193.71428571428572,3.75,8.0,0.0,0.0,4.0,3.0,male,78.75
44,Michaele Nogue,1.0,0.0,1.0,"USA, Virginia, Chesapeake",super light,138.875,140.625,0.0,2.0,0.0,0.0,0.0,1.0,female,0.0
45,Montez Brown,8.0,0.0,1.0,"USA, Virginia, Virginia Beach",cruiser,194.41666666666666,196.27777777777777,5.0,9.0,1.0,0.0,5.0,1.0,male,75.0
46,Jason Wahr,4.0,3.0,15.0,"USA, Virginia, Virginia Beach",middle,155.35,158.975,7.5,22.0,0.0,0.0,1.0,3.0,male,-87.5
47,Ryan Parker,0.0,0.0,1.0,"USA, Virginia, Virginia Beach",heavy,198.0,197.0,0.0,1.0,0.0,0.0,0.0,0.0,male,-10.0
48,Roger Belch,13.0,0.0,1.0,"USA, North Carolina, Hobbsville",light,132.76785714285714,132.64285714285714,5.357142857142857,14.0,3.0,0.0,5.0,5.0,male,125.35714285714286
49,Immanuwel Aleem,18.0,2.0,1.0,"USA, Virginia, Richmond",middle,162.21428571428572,,0.0,21.0,0.0,0.0,0.0,0.0,male,180.0
50,Nigel Fennell,5.0,0.0,0.0,"USA, Virginia, Richmond",welter,146.54166666666666,145.75,6.0,5.0,0.0,0.0,4.0,2.0,male,58.0
51,Rafiq Muhammad,4.0,0.0,0.0,"USA, Virginia, Richmond",super welter,150.75,148.375,11.25,4.0,1.0,0.0,1.0,2.0,male,51.25
52,Gabriel Braxton,2.0,0.0,28.0,"USA, Virginia, Richmond",super light,124.62903225806451,124.1774193548387,4.0,30.0,0.0,0.0,1.0,1.0,male,-256.0
53,Tyshae Ferguson,0.0,0.0,10.0,"USA, Virginia, Richmond",light,129.625,131.45,3.0,10.0,0.0,0.0,0.0,0.0,male,-97.0
54,Nathaniel Lee Davis,1.0,0.0,1.0,"USA, Maryland, Lusby",super feather,134.5,134.125,0.0,2.0,0.0,0.0,0.0,0.0,male,0.0
55,Henry Mercer,2.0,0.0,19.0,"USA, North Carolina, Rocky Mount",light heavy,166.3,166.75,3.5714285714285716,21.0,0.0,1.0,1.0,0.0,male,-128.66541353383457
56,Bryan Canady,0.0,0.0,5.0,"USA, North Carolina, Rocky Mount",heavy,225.625,220.5,6.0,5.0,0.0,0.0,0.0,0.0,male,-44.0
57,Khalil Brown,0.0,0.0,4.0,"USA, North Carolina, Rocky Mount",heavy,216.58333333333334,233.25,0.0,4.0,0.0,0.0,0.0,0.0,male,-40.0
58,Jacquan Townes,7.0,0.0,1.0,"USA, North Carolina, Greenville",cruiser,214.5625,228.53125,1.875,8.0,4.0,0.0,1.0,2.0,male,62.375
59,Tahir Thomas,4.0,1.0,2.0,"USA, Maryland, Salisbury",super middle,169.53571428571428,173.60714285714286,2.142857142857143,7.0,1.0,0.0,2.0,1.0,male,27.142857142857142
60,Victor Miles,1.0,0.0,0.0,"USA, Virginia, Fredericksburg",middle,159.0,154.0,15.0,1.0,0.0,0.0,0.0,1.0,male,25.0
61,Dontre King,7.0,2.0,21.0,"USA, Maryland, Cambridge",super welter,147.66666666666666,146.53571428571428,1.5,30.0,0.0,0.0,3.0,4.0,male,-128.5
62,Kelvin King,5.0,1.0,0.0,"USA, North Carolina, Wilson",welter,149.29166666666666,149.95833333333334,12.5,6.0,2.0,0.0,2.0,1.0,male,69.5
63,Austin Bryant,4.0,0.0,2.0,"USA, North Carolina, Wilson",cruiser,192.41666666666666,195.66666666666666,0.0,6.0,0.0,0.0,3.0,0.0,male,23.0
64,Lamarco Ellis,2.0,0.0,6.0,"USA, North Carolina, Wilson",heavy,312.28125,231.75,3.75,8.0,0.0,0.0,1.0,1.0,male,-36.25
65,Demonte Cherry,1.0,0.0,7.0,"USA, North Carolina, Wilson",heavy,233.53125,251.9375,3.75,8.0,0.0,0.0,1.0,0.0,male,-56.25
66,Marcell Sams Jr,0.0,0.0,2.0,"USA, North Carolina, Wilson",cruiser,173.375,180.625,0.0,2.0,0.0,0.0,0.0,0.0,male,-20.0
67,Damian Archer,0.0,0.0,4.0,"USA, North Carolina, Wilson",super welter,157.6875,159.5,0.0,4.0,0.0,0.0,0.0,0.0,male,-40.0
68,Daron Hester,0.0,0.0,6.0,"USA, North Carolina, Wilson",super welter,141.95833333333334,141.08333333333334,7.5,6.0,0.0,0.0,0.0,0.0,male,-52.5
69,Molique Artis,0.0,0.0,7.0,"USA, North Carolina, Wilson",super light,138.92857142857142,136.0,0.0,7.0,0.0,0.0,0.0,0.0,male,-70.0
70,Khadija Sanders,0.0,0.0,5.0,"USA, North Carolina, Wilson",feather,135.8,133.05,0.0,5.0,0.0,0.0,0.0,0.0,female,-50.0
71,Marquis Johnson,0.0,0.0,4.0,"USA, North Carolina, Wilson",super light,139.5,144.125,0.0,4.0,0.0,0.0,0.0,0.0,male,-40.0
72,Demetrius Shaw,0.0,0.0,4.0,"USA, North Carolina, Wilson",heavy,272.9375,237.375,0.0,4.0,0.0,0.0,0.0,0.0,male,-40.0
73,Ronald Alston,0.0,0.0,3.0,"USA, North Carolina, Wilson",super bantam,124.0,126.75,15.0,3.0,0.0,0.0,0.0,0.0,male,-15.0
74,Shaquille Harris,0.0,0.0,3.0,"USA, North Carolina, Wilson",super feather,122.83333333333333,124.75,0.0,3.0,0.0,0.0,0.0,0.0,male,-30.0
75,Knowledge Robinson Speight,0.0,0.0,5.0,"USA, North Carolina, Wilson",bantam,119.15,120.4,0.0,5.0,0.0,0.0,0.0,0.0,male,-50.0
76,Geral Thomas,0.0,0.0,4.0,"USA, North Carolina, Wilson",super feather,131.5,134.125,0.0,4.0,0.0,0.0,0.0,0.0,male,-40.0
77,Kwatevion Nijee Isom,0.0,0.0,3.0,"USA, North Carolina, Wilson",super light,141.5,141.25,0.0,3.0,0.0,0.0,0.0,0.0,male,-30.0
78,Terrance Brown,0.0,0.0,3.0,"USA, North Carolina, Wilson",welter,147.08333333333334,148.5,0.0,3.0,0.0,0.0,0.0,0.0,male,-30.0
79,Styris Horne,0.0,0.0,2.0,"USA, North Carolina, Wilson",heavy,205.125,211.25,0.0,2.0,0.0,0.0,0.0,0.0,female,-20.0
80,Rashio Evans,0.0,0.0,2.0,"USA, North Carolina, Wilson",super light,136.875,144.75,0.0,2.0,0.0,0.0,0.0,0.0,male,-20.0
81,Thomas Hobbs,0.0,0.0,2.0,"USA, North Carolina, Wilson",heavy,237.0,247.75,0.0,2.0,0.0,0.0,0.0,0.0,male,-20.0
82,Marquious Joyner,0.0,0.0,2.0,"USA, North Carolina, Wilson",middle,155.375,152.75,7.5,2.0,0.0,0.0,0.0,0.0,male,-12.5
83,Nigel Farmer,0.0,0.0,3.0,"USA, North Carolina, Wilson",middle,156.375,155.25,5.0,3.0,0.0,0.0,0.0,0.0,male,-25.0
84,Joshuan Cox,0.0,0.0,1.0,"USA, North Carolina, Wilson",light heavy,172.5,172.75,0.0,1.0,0.0,0.0,0.0,0.0,male,-10.0
85,Raekwon Williams,0.0,0.0,3.0,"USA, North Carolina, Wilson",super feather,126.66666666666667,127.33333333333333,0.0,3.0,0.0,0.0,0.0,0.0,male,-30.0
86,Chante Bowens,0.0,0.0,4.0,"USA, North Carolina, Wilson",feather,125.55,123.95,3.75,4.0,0.0,0.0,0.0,0.0,male,-36.25
87,Paris Liles,0.0,0.0,1.0,"USA, North Carolina, Wilson",heavy,213.75,283.25,15.0,1.0,0.0,0.0,0.0,0.0,male,5.0
88,Jerome Woods,0.0,0.0,2.0,"USA, North Carolina, Wilson",super middle,161.5,171.75,0.0,2.0,0.0,0.0,0.0,0.0,male,-20.0
89,Tjuan Wooten,0.0,0.0,1.0,"USA, North Carolina, Wilson",light,131.25,134.75,0.0,1.0,0.0,0.0,0.0,0.0,male,-10.0
90,Travoris Lofton,0.0,0.0,1.0,"USA, North Carolina, Wilson",cruiser,192.0,190.5,0.0,1.0,0.0,0.0,0.0,0.0,male,-10.0
91,Na'ledge Barnes,0.0,0.0,2.0,"USA, North Carolina, Wilson",middle,161.5,164.75,0.0,2.0,0.0,0.0,0.0,0.0,male,-20.0
92,Corey Champion,1.0,0.0,0.0,"USA, Virginia, Louisa",welter,140.5,141.0,0.0,1.0,0.0,0.0,1.0,0.0,male,10.0
93,Mike Reed,25.0,0.0,2.0,"USA, Maryland, Waldorf",super light,141.1851851851852,141.12037037037038,12.777777777777779,27.0,3.0,0.0,9.0,12.0,male,290.28039662327865
94,Rashad Kilpatrick,5.0,0.0,0.0,"USA, Maryland, Waldorf",welter,146.15,149.1,6.0,5.0,0.0,0.0,2.0,2.0,male,56.0
95,Brandon Ruffin,0.0,0.0,4.0,"USA, North Carolina, Black Creek",super light,130.9375,134.0,0.0,4.0,0.0,0.0,0.0,0.0,male,-40.0
96,Kwasi Horton,0.0,0.0,2.0,"USA, Maryland, Waldorf",heavy,260.5,236.0,0.0,2.0,0.0,0.0,0.0,0.0,male,-20.0
97,Jarrett Hurd,23.0,0.0,1.0,"USA, Maryland, Accokeek",super welter,,,0.0,24.0,,,,,male,220.0
98,Ike Ezeji,7.0,1.0,24.0,"USA, North Carolina, Kinston",super welter,,,0.0,32.0,,,,,male,-165.0
99,Terrance Harris,0.0,0.0,2.0,"USA, North Carolina, Kinston",super light,137.25,132.75,0.0,2.0,0.0,0.0,0.0,0.0,male,-20.0
100,Jose Mario Flores,8.0,2.0,2.0,"USA, Virginia, Woodbridge",cruiser,193.4090909090909,192.29545454545453,10.0,12.0,2.0,1.0,2.0,2.0,male,111.41176470588235
101,Kareem Martin,13.0,1.0,2.0,"USA, Maryland, Clinton",super welter,146.828125,146.640625,19.6875,16.0,3.0,1.0,0.0,7.0,male,142.1875
102,Danny Kelly,10.0,1.0,3.0,"USA, Maryland, Clinton",heavy,237.125,241.625,9.642857142857142,14.0,5.0,0.0,4.0,0.0,male,119.1984126984127
103,Fatiou Fassinou,28.0,3.0,12.0,"USA, Maryland, Fort Washington",super feather,127.36842105263158,127.825,2.0930232558139537,43.0,6.0,0.0,8.0,4.0,male,177.09302325581396
104,Marquel Johns,7.0,2.0,2.0,"USA, Maryland, Fort Washington",feather,124.1590909090909,123.68181818181819,5.454545454545454,11.0,2.0,0.0,4.0,1.0,male,65.45454545454545
105,Chandler Cole,1.0,0.0,0.0,"USA, Virginia, Coebum",heavy,296.5,246.5,0.0,1.0,0.0,0.0,0.0,0.0,male,10.0
106,Leonor Alcantara Perez,3.0,0.0,0.0,"USA, Maryland, Fort Washington",super middle,164.08333333333334,166.0,0.0,3.0,0.0,0.0,1.0,2.0,male,30.0
107,Jay Stancil III,1.0,0.0,0.0,"USA, Maryland, Clinton",unknown,127.0,123.0,0.0,1.0,0.0,0.0,0.0,1.0,male,10.0
108,Adam Mays,0.0,1.0,2.0,"USA, Virginia, Coebum",super middle,167.16666666666666,166.5,5.0,3.0,0.0,0.0,0.0,0.0,male,-10.0
109,Lamont Roach,19.0,1.0,0.0,"USA, Maryland, Upper Marlboro",super feather,,,0.0,20.0,,,,,male,195.0
110,Mykal Fox,21.0,0.0,1.0,"USA, Maryland, Upper Marlboro",welter,140.73863636363637,,0.0,22.0,0.0,0.0,0.0,0.0,male,200.0
111,Alantez Fox,26.0,1.0,1.0,"USA, Maryland, Upper Marlboro",middle,157.9375,,0.0,28.0,0.0,0.0,0.0,0.0,male,255.0
112,Mike Balogun,15.0,0.0,0.0,"USA, Maryland, Upper Marlboro",heavy,236.28333333333333,245.55357142857142,9.0,15.0,3.0,0.0,8.0,4.0,male,192.71927074740142
113,Charles Johnson,1.0,0.0,4.0,"USA, Maryland, Upper Marlboro",cruiser,196.05,194.95,0.0,5.0,0.0,0.0,1.0,0.0,male,-30.0
114,Ricardo Vasquez Becerril,0.0,0.0,2.0,"USA, North Carolina, La Grange",super middle,167.875,167.25,0.0,2.0,0.0,0.0,0.0,0.0,male,-20.0
115,Anthony Peterson,37.0,1.0,1.0,"USA, Maryland, Oxon Hill",super light,136.66216216216216,137.9527027027027,18.846153846153847,39.0,6.0,0.0,15.0,13.0,male,495.84615384615387
116,Alexander Johnson,17.0,1.0,4.0,"USA, Maryland, Oxon Hill",light heavy,173.10714285714286,175.125,6.136363636363637,22.0,4.0,0.0,3.0,9.0,male,179.89952153110048
117,Shakur Stevenson,13.0,0.0,0.0,"USA, Virginia, Alexandria",feather,,,0.0,13.0,,,,,male,130.0
118,Dewayne Beamon,16.0,2.0,2.0,"USA, North Carolina, Goldsboro",super fly,,,0.0,20.0,,,,,male,150.0
119,D'Mitrius Ballard,20.0,0.0,0.0,"USA, Maryland, Temple Hills",super middle,168.125,168.25,9.0,20.0,2.0,0.0,11.0,7.0,male,209.0
120,Brandon Quarles,21.0,1.0,5.0,"USA, Virginia, Alexandria",middle,156.58333333333334,156.3804347826087,22.22222222222222,27.0,0.0,2.0,10.0,9.0,male,198.43650793650795
121,Jairus Gladney,1.0,0.0,1.0,"USA, Maryland, Forestville",heavy,234.25,226.75,0.0,2.0,0.0,0.0,0.0,1.0,male,0.0
122,Isiah Florence,0.0,0.0,4.0,"USA, North Carolina, Goldsboro",super feather,132.0,126.5,0.0,4.0,0.0,0.0,0.0,0.0,male,-40.0
123,Lenwood Dozier,10.0,3.0,24.0,"USA, Maryland, Suitland",middle,152.67567567567568,153.64864864864865,5.675675675675675,37.0,3.0,1.0,2.0,3.0,male,-119.32432432432432
124,Malik Loften,4.0,0.0,1.0,"USA, Maryland, Suitland",feather,127.7,128.25,6.0,5.0,0.0,1.0,2.0,1.0,male,44.5
125,Davonn Boone,1.0,0.0,1.0,"USA, Maryland, Suitland",middle,163.0,161.375,0.0,2.0,0.0,0.0,0.0,1.0,male,0.0
126,Keeshawn Williams,6.0,1.0,0.0,"USA, Maryland, District Heights",welter,146.03571428571428,145.25,10.714285714285714,7.0,1.0,0.0,1.0,3.0,male,79.61428571428571
127,Renaldo Gaines,10.0,0.0,2.0,"USA, Maryland, District Heights",super feather,130.0625,129.08333333333334,8.75,12.0,0.0,0.0,2.0,6.0,male,88.75
128,Dominic Wade,20.0,0.0,1.0,"USA, Maryland, Largo",light heavy,164.14285714285714,163.66666666666666,12.857142857142858,21.0,5.0,1.0,8.0,5.0,male,245.36183328866255
129,Gary Allen Russell Jr,30.0,0.0,1.0,"USA, Maryland, Capitol Heights",feather,,,0.0,31.0,,,,,male,290.0
130,Gary Antuanne Russell,12.0,0.0,0.0,"USA, Maryland, Capitol Heights",super light,137.89583333333334,140.0625,15.0,12.0,3.0,0.0,9.0,0.0,male,135.0
131,Roque Zapata,6.0,5.0,2.0,"USA, Virginia, Culpeper",super welter,153.30769230769232,153.01923076923077,4.615384615384615,13.0,0.0,0.0,0.0,5.0,male,153.33343274372686
132,Aaron Anderson,6.0,0.0,0.0,"USA, Maryland",middle,153.6,153.5,2.5,6.0,0.0,0.0,4.0,2.0,male,64.83333333333333
133,James Early,4.0,0.0,5.0,"USA, Maryland, Seat Pleasant",super feather,127.58333333333333,127.75,5.0,9.0,0.0,0.0,0.0,3.0,male,13.636363636363637
134,Marcus Bates,10.0,1.0,1.0,"USA, District of Columbia, Washington",super bantam,122.45833333333333,122.5,7.5,12.0,3.0,0.0,4.0,2.0,male,119.57142857142857
135,DeMarcus Corley,51.0,1.0,33.0,"USA, District of Columbia, Washington",welter,,,0.0,85.0,,,,,male,185.0
136,Dusty Hernandez Harrison,33.0,1.0,0.0,"USA, District of Columbia, Washington",middle,148.83823529411765,148.88970588235293,10.588235294117647,34.0,6.0,0.0,12.0,14.0,male,464.4428654387227
137,Gary Antonio Russell,16.0,0.0,0.0,"USA, District of Columbia, Washington",bantam,117.953125,119.03125,16.875,16.0,5.0,0.0,7.0,3.0,male,176.875
138,Tiara Brown,9.0,0.0,0.0,"USA, District of Columbia, Washington",super feather,130.61111111111111,132.36111111111111,10.0,9.0,1.0,0.0,3.0,2.0,female,100.72
139,Jordan White,9.0,0.0,1.0,"USA, District of Columbia, Washington",super feather,124.6,124.725,6.0,10.0,2.0,0.0,4.0,2.0,male,86.0
140,Shyngyskhan Tazhibay,9.0,0.0,0.0,"USA, District of Columbia, Washington",welter,146.19444444444446,146.27777777777777,16.666666666666668,9.0,0.0,0.0,2.0,7.0,male,106.66666666666667
141,Gregory Clark,4.0,1.0,4.0,"USA, District of Columbia, Washington",super middle,162.88888888888889,162.80555555555554,3.3333333333333335,9.0,0.0,1.0,1.0,2.0,male,14.583333333333334
142,Daron Williams,8.0,0.0,1.0,"USA, District of Columbia, Washington",super bantam,121.25,120.36111111111111,6.666666666666667,9.0,0.0,0.0,5.0,2.0,male,76.66666666666667
143,Antonio Magruder,5.0,1.0,0.0,"USA, District of Columbia, Washington",welter,140.375,138.45833333333334,12.5,6.0,1.0,0.0,3.0,1.0,male,67.5
144,Cornell Hines,5.0,0.0,1.0,"USA, District of Columbia, Washington",welter,147.79166666666666,146.08333333333334,2.5,6.0,0.0,1.0,2.0,1.0,male,42.5
145,Lamont White,1.0,0.0,19.0,"USA, District of Columbia, Washington",super light,140.76190476190476,140.0,0.75,20.0,1.0,0.0,0.0,0.0,male,-154.17857142857142
146,Nathaniel Copeland,1.0,0.0,1.0,"USA, District of Columbia, Washington",heavy,251.25,233.25,0.0,2.0,1.0,0.0,0.0,0.0,male,0.0
147,Daryl Fenton,1.0,1.0,5.0,"USA, District of Columbia, Washington",super middle,164.75,167.04166666666666,6.428571428571429,7.0,0.0,1.0,0.0,0.0,male,-28.57142857142857
148,Dameron Kirby,0.0,0.0,4.0,"USA, District of Columbia, Washington",light heavy,173.4375,172.8125,0.0,4.0,0.0,0.0,0.0,0.0,male,-40.0
149,Taurean Venable,0.0,0.0,1.0,"USA, District of Columbia, Washington",welter,142.25,137.5,0.0,1.0,0.0,0.0,0.0,0.0,male,-10.0
150,Dravontay Speed Rawls,13.0,1.0,1.0,"USA, Maryland, Glenarden",light,137.125,139.10714285714286,9.0,15.0,1.0,1.0,6.0,4.0,male,161.7
151,Filip Stankovic,6.0,0.0,1.0,"USA, Virginia, Arlington",super middle,171.75,171.60714285714286,4.285714285714286,7.0,0.0,0.0,3.0,2.0,male,54.285714285714285
152,Justin Ridgway,9.0,0.0,2.0,"USA, Virginia, Arlington",cruiser,201.825,198.97727272727272,9.545454545454545,11.0,1.0,1.0,3.0,1.0,male,80.34545454545454
153,Greg Outlaw,8.0,0.0,0.0,"USA, Maryland, Bowie",super light,138.66666666666666,139.38888888888889,5.625,8.0,1.0,0.0,2.0,4.0,male,111.97564935064935
154,Tyrek Irby,9.0,0.0,0.0,"USA, Maryland, Landover",welter,142.72222222222223,142.25,11.666666666666666,9.0,2.0,0.0,1.0,6.0,male,101.66666666666667
155,Marlon Bolen,2.0,0.0,0.0,"USA, Maryland, Bowie",welter,145.625,148.75,0.0,2.0,0.0,0.0,1.0,1.0,male,20.0
156,Karl Garcia Butler,0.0,0.0,2.0,"USA, Maryland, Annapolis",welter,146.25,147.25,7.5,2.0,0.0,0.0,0.0,0.0,male,-12.5
157,Cobia Breedy,14.0,0.0,0.0,"USA, Maryland, Hyattsville",feather,130.23214285714286,130.73076923076923,13.928571428571429,14.0,1.0,0.0,3.0,9.0,male,229.16335403726708
158,Patrick Harris,18.0,0.0,0.0,"USA, Maryland, Hyattsville",super light,138.08823529411765,137.5,15.0,18.0,2.0,0.0,7.0,7.0,male,197.43478260869566
159,Max Alexander,17.0,2.0,8.0,"USA, North Carolina, Raleigh",cruiser,182.33928571428572,184.5,8.88888888888889,27.0,0.0,0.0,3.0,14.0,male,112.88888888888889
160,Joel Caudle,8.0,2.0,4.0,"USA, North Carolina, Raleigh",heavy,258.0833333333333,241.48333333333332,5.357142857142857,14.0,2.0,1.0,2.0,2.0,male,55.857142857142854
161,Javon Campbell,1.0,0.0,1.0,"USA, North Carolina, Raleigh",feather,121.5,121.625,7.5,2.0,0.0,0.0,0.0,1.0,male,7.5
162,Robert Reid,0.0,0.0,1.0,"USA, North Carolina, Raleigh",super light,136.5,138.5,0.0,1.0,0.0,0.0,0.0,0.0,male,-10.0
163,Blaze Fidler Hernandez,0.0,1.0,0.0,"USA, Maryland, Arnold",super feather,128.0,128.5,0.0,1.0,0.0,0.0,0.0,0.0,male,5.0
164,Sam Crossed,8.0,0.0,0.0,"USA, Maryland, Greenbelt",cruiser,192.46875,191.8125,1.875,8.0,1.0,1.0,4.0,1.0,male,81.875
165,Juan Rodriguez,8.0,1.0,16.0,"USA, Virginia, Haymarket",welter,144.0,144.2391304347826,7.8,25.0,1.0,1.0,5.0,1.0,male,-67.2
166,Alexandru Marin,18.0,0.0,0.0,"USA, Maryland, Bethesda",super fly,,,0.0,18.0,,,,,male,180.0
167,Sulaiman Segawa,13.0,0.0,2.0,"USA, Maryland, Silver Spring",super feather,129.5625,130.53125,4.0,15.0,1.0,1.0,2.0,5.0,male,165.40734265734267
168,Edward Kakembo,10.0,0.0,8.0,"USA, Maryland, Silver Spring",feather,126.9,126.825,8.333333333333334,18.0,3.0,1.0,0.0,5.0,male,28.333333333333336
169,George Harris,4.0,0.0,0.0,"USA, Maryland, Silver Spring",heavy,217.4375,238.6875,3.75,4.0,2.0,0.0,2.0,0.0,male,43.75
170,Dieumerci Nzau,11.0,0.0,10.0,"USA, Maryland, Silver Spring",super light,142.625,143.08333333333334,2.142857142857143,21.0,7.0,0.0,1.0,3.0,male,12.142857142857142
171,Benjamin Borteye,4.0,0.0,8.0,"USA, Maryland, Silver Spring",welter,141.5909090909091,142.0909090909091,1.25,12.0,0.0,0.0,4.0,0.0,male,-38.75
