,name,wins,draws,losses,location,division,average_weight,average_opponent_weight,opp_points,bouts_fought,win by knockout,win by split decision,win by technical knockout,win by unanimous decision,sex,total_points
2710,James Weissmann,4.0,0.0,0.0,"USA, Colorado, near Denver",light heavy,174.58333333333334,172.41666666666666,3.75,4.0,3.0,0.0,0.0,1.0,male,43.75
2711,Carlos Horacio Nevarez,14.0,1.0,17.0,"USA, Colorado, Denver",middle,,,0.0,32.0,,,,,male,-25.0
2712,Sergio Lopez,2.0,0.0,1.0,"USA, Colorado, Denver",super welter,150.41666666666666,148.91666666666666,5.0,3.0,0.0,0.0,1.0,1.0,male,15.0
2713,Khalid Smith,3.0,0.0,0.0,"USA, Colorado, Denver",heavy,228.5,223.5,5.0,3.0,0.0,0.0,2.0,1.0,male,35.0
2714,Matias Robles,4.0,1.0,1.0,"USA, Colorado, Denver",light,136.70833333333334,137.04166666666666,2.5,6.0,0.0,0.0,0.0,4.0,male,37.5
2715,Jose Morales,8.0,0.0,8.0,"USA, Colorado, Thornton",light,,,0.0,16.0,,,,,male,0.0
2716,Lucio Zuniga,4.0,0.0,0.0,"USA, Colorado, Denver",light,131.33333333333334,133.75,0.0,4.0,1.0,0.0,2.0,1.0,male,40.0
2717,Cory Madden,4.0,0.0,1.0,"USA, Colorado, Denver",welter,150.625,150.1875,15.0,5.0,0.0,0.0,4.0,0.0,male,45.0
2718,Christian Arranda,5.0,0.0,0.0,"USA, Colorado, Denver",welter,147.5,146.0625,0.0,5.0,0.0,0.0,2.0,3.0,male,50.0
2719,Amorena Baca,4.0,0.0,1.0,"USA, Colorado, Denver",feather,137.25,139.05,12.0,5.0,0.0,2.0,0.0,2.0,female,43.44
2720,Javier Davio Aragon,3.0,0.0,0.0,"USA, Colorado, Denver",super middle,165.91666666666666,166.58333333333334,0.0,3.0,0.0,0.0,1.0,1.0,male,30.0
2721,Erick Kedar Gainous,3.0,0.0,0.0,"USA, Colorado, Denver",super middle,150.5,154.0,0.0,3.0,0.0,0.0,1.0,2.0,male,30.0
2722,Carlos Chaparro,1.0,0.0,1.0,"USA, Colorado, Denver",light heavy,160.5,162.125,0.0,2.0,1.0,0.0,0.0,0.0,male,0.0
2723,Brittany Cruz,11.0,2.0,12.0,"USA, Colorado, Thornton",light,125.18,125.18,3.6,25.0,0.0,3.0,2.0,6.0,female,3.6
2724,Mario Cardiel,5.0,0.0,1.0,"USA, Colorado, Denver",light,134.7,133.95833333333334,0.0,6.0,2.0,0.0,1.0,2.0,male,40.0
2725,Dylan Tyler Schulte,1.0,0.0,0.0,"USA, Colorado, Denver",super light,130.5,129.0,0.0,1.0,0.0,0.0,0.0,0.0,male,10.0
