,Unnamed: 0,name,wins,losses,draws,average_weight,sex,division,Jab accuracy,Power punch accuracy,Total punch accuracy,Avg Jabs landed,Avg Power punches landed,Avg Total punches landed,% of Power punches landed against,% of Jabs landed against,% of Total punches landed against,Avg Jabs landed against,Avg Power punches landed against,Avg Total punches landed against
167,167,Stacy Frazier,16.0,22.0,0.0,,male,heavy,28.57,45.45,37.21,6.0,10.0,16.0,,,,0.0,0.0,0.0
168,168,Sonny Fredrickson,21.0,1.0,0.0,,male,super light,14.15,31.52,24.24,29.33,90.67,120.0,35.42,17.57,29.26,21.67,83.0,104.67
169,169,Stephen Fulton,17.0,0.0,0.0,123.15,male,super bantam,3.31,37.44,23.36,2.0,32.2,34.2,36.26,9.68,26.58,4.8,31.4,36.2
170,170,Sebastian Fundora,13.0,0.0,1.0,,male,super welter,26.0,36.95,31.79,47.67,76.0,123.67,30.48,11.14,21.22,16.33,48.67,65.0
171,171,Juan Funez,11.0,1.0,1.0,129.48,male,light,18.75,32.6,28.18,24.0,89.0,113.0,22.14,14.08,20.51,10.0,62.0,72.0
172,172,Hughie Fury,23.0,3.0,0.0,237.33,male,heavy,16.75,31.46,21.33,33.0,28.0,61.0,29.35,9.84,18.22,12.0,27.0,39.0
173,173,Tyson Fury,29.0,0.0,1.0,234.49,male,heavy,17.5,39.44,28.34,28.54,62.77,91.31,39.09,19.77,29.45,27.92,55.38,83.31
174,174,Fazliddin Gaibnazarov,7.0,1.0,0.0,139.41,male,super light,7.32,26.05,21.25,3.0,31.0,34.0,30.77,11.43,24.78,8.0,48.0,56.0
175,175,Frank Galarza,20.0,3.0,2.0,,male,super welter,11.17,38.05,29.11,8.8,60.2,69.0,44.97,18.34,32.49,23.8,66.2,90.0
176,176,Nathaniel Gallimore,21.0,4.0,1.0,156.61,male,super welter,19.31,34.78,28.79,22.5,64.0,86.5,51.09,24.16,42.98,21.5,105.5,127.0
177,177,Yuriorkis Gamboa,30.0,2.0,0.0,129.51,male,light,12.08,34.32,25.54,14.88,64.83,79.71,31.39,11.85,23.16,13.92,50.62,64.54
178,178,Genaro Gamez,9.0,1.0,0.0,,male,super light,15.98,48.3,35.82,12.4,59.6,72.0,34.56,17.32,26.23,15.0,32.0,47.0
179,179,Danny Garcia,35.0,2.0,0.0,,male,welter,16.68,39.17,30.14,27.75,97.2,124.95,34.61,18.86,26.91,38.9,74.65,113.55
180,180,Danny Garcia,5.0,5.0,1.0,172.14,male,super middle,16.68,39.17,30.14,27.75,97.2,124.95,34.61,18.86,26.91,38.9,74.65,113.55
181,181,Jorge Garcia,5.0,17.0,1.0,,male,cruiser,21.9,47.15,40.86,23.0,149.0,172.0,48.78,26.32,37.31,45.0,80.0,125.0
182,182,Julio Garcia,3.0,3.0,0.0,116.88,male,super fly,18.75,41.49,30.96,39.0,100.0,139.0,24.9,10.97,21.44,8.67,59.67,68.33
183,183,Mikey Garcia,39.0,1.0,0.0,,male,welter,19.22,36.1,25.93,44.47,55.18,99.65,31.71,16.04,22.8,31.94,47.94,79.88
184,184,Roberto Garcia,42.0,4.0,0.0,152.05,male,middle,18.46,37.7,28.71,56.6,131.8,188.4,33.47,21.07,28.41,51.2,118.2,169.4
185,185,Ryan Garcia,19.0,0.0,0.0,,male,light,21.13,41.1,33.32,7.89,24.05,31.95,21.89,10.55,17.76,3.83,13.89,17.72
186,186,Sean Garcia,5.0,0.0,0.0,123.65,male,feather,10.0,34.38,29.75,3.0,44.0,47.0,19.23,2.82,12.57,2.0,20.0,22.0
187,187,Terrell Gausha,21.0,1.0,1.0,158.27,male,super welter,30.21,50.32,40.74,39.46,72.23,111.69,26.64,10.16,20.68,9.85,45.54,55.38
188,188,Ronald Gavril,19.0,3.0,0.0,167.07,male,super middle,20.2,29.85,24.41,39.6,45.2,84.8,39.45,32.19,35.85,39.4,49.0,88.4
189,189,Mercito Gesta,32.0,3.0,2.0,129.03,male,super light,13.95,31.81,24.77,30.11,105.33,135.44,32.59,18.08,28.49,25.67,117.56,143.22
190,190,Keandre Gibson,19.0,2.0,1.0,144.46,male,welter,24.05,52.55,39.91,31.6,86.6,118.2,32.87,11.72,27.06,9.0,66.6,75.6
191,191,Shakhram Giyasov,9.0,0.0,0.0,,male,super light,16.02,37.85,30.76,33.0,162.0,195.0,28.66,19.48,24.72,45.0,88.0,133.0
192,192,Brandon Glanton,11.0,0.0,0.0,197.16,male,cruiser,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
193,193,Ivan Golub,17.0,1.0,0.0,152.68,male,welter,22.78,35.63,30.11,12.83,26.67,39.5,34.64,15.77,25.33,13.67,30.83,44.5
194,194,Eddie Gomez,23.0,3.0,0.0,149.99,male,welter,27.87,37.57,33.73,47.38,97.5,144.88,34.8,19.7,27.9,32.88,69.0,101.88
195,195,Carlos Gongora,17.0,0.0,0.0,165.69,male,middle,0.0,57.14,33.33,0.0,4.0,4.0,50.0,33.33,40.0,1.0,1.0,2.0
196,196,Jesus Gonzales,6.0,3.0,0.0,139.39,male,super light,9.94,55.23,29.23,32.0,132.0,164.0,38.93,17.88,31.03,32.0,116.0,148.0
197,197,Christian Gonzalez,19.0,4.0,0.0,132.24,male,light,17.3,38.39,32.5,11.0,63.0,74.0,32.94,14.57,28.08,8.9,55.9,64.8
198,198,Daniel Gonzalez,18.0,2.0,1.0,,male,super light,15.85,29.98,25.43,32.5,129.5,162.0,34.62,15.34,27.47,27.0,103.5,130.5
199,199,Irvin Gonzalez,12.0,2.0,0.0,127.48,male,super feather,10.98,24.49,19.2,14.0,48.5,62.5,20.49,10.26,16.77,6.0,21.0,27.0
200,200,Joet Gonzalez,23.0,1.0,0.0,,male,feather,22.14,40.82,34.72,22.83,86.83,109.67,35.46,7.56,25.44,10.12,84.88,95.0
201,201,Jorge Gonzalez,7.0,2.0,0.0,136.42,male,super welter,54.1,51.49,52.91,99.0,78.0,177.0,38.08,36.74,37.47,39.5,49.5,89.0
202,202,Jose Gonzalez,13.0,0.0,2.0,125.05,male,feather,19.59,19.39,19.47,9.5,16.0,25.5,45.68,23.38,38.49,18.0,74.0,92.0
203,203,Jousce Gonzalez,10.0,0.0,1.0,131.25,male,super feather,21.52,36.86,33.43,5.67,33.67,39.33,43.31,16.84,31.98,10.67,36.67,47.33
204,204,Denis Grachev,19.0,9.0,1.0,,male,light heavy,32.58,36.81,34.19,86.0,60.0,146.0,23.74,8.76,17.75,29.0,118.0,147.0
205,205,Rafael Gramajo,11.0,2.0,2.0,123.48,male,super bantam,9.63,39.47,29.82,4.2,36.0,40.2,33.18,7.25,25.2,2.8,28.8,31.6
206,206,Adrian Granados,20.0,8.0,2.0,142.63,male,welter,23.7,49.35,43.53,32.0,227.0,259.0,48.72,14.58,41.98,7.0,95.0,102.0
207,207,Khiary Gray,16.0,5.0,0.0,156.18,male,super welter,25.58,38.89,32.99,11.0,21.0,32.0,39.68,32.08,36.21,17.0,25.0,42.0
208,208,Allan Green,33.0,6.0,0.0,171.83,male,cruiser,37.66,52.29,46.24,14.5,28.5,43.0,15.58,5.95,10.56,2.5,6.0,8.5
209,209,Raymond Guajardo,4.0,0.0,0.0,155.75,male,super welter,4.17,27.27,15.22,1.0,6.0,7.0,43.55,16.67,41.18,1.0,27.0,28.0
210,210,Gavino Guaman,5.0,4.0,0.0,129.11,male,feather,23.91,43.59,36.29,11.0,34.0,45.0,23.53,16.67,22.22,2.0,12.0,14.0
211,211,Robert Guerrero,36.0,6.0,1.0,,male,welter,16.85,42.84,31.96,32.59,114.94,147.53,34.09,11.28,26.67,17.71,111.06,128.76
212,212,Dominick Guinn,37.0,13.0,1.0,,male,heavy,23.03,47.4,34.75,52.67,100.33,153.0,38.35,19.44,30.62,27.67,79.0,106.67
213,213,Roger Gutierrez,9.0,5.0,2.0,129.51,male,super feather,22.44,40.59,35.85,35.0,179.0,214.0,31.22,10.43,20.62,24.0,69.0,93.0
214,214,Oleksandr Gvozdyk,17.0,1.0,0.0,,male,light heavy,16.34,29.68,23.8,17.4,40.1,57.5,37.17,16.94,26.77,28.8,59.7,88.5
215,215,Christian Hammer,24.0,6.0,0.0,250.56,male,heavy,9.68,24.28,15.27,13.5,21.0,34.5,28.95,13.75,19.17,42.5,49.5,92.0
216,216,Devin Haney,23.0,0.0,0.0,,male,light,27.47,39.2,33.91,47.0,81.88,128.88,25.76,14.94,21.06,24.12,54.25,78.38
217,217,Joe Hanks,23.0,3.0,0.0,,male,heavy,20.69,44.33,33.42,36.0,90.0,126.0,37.3,33.18,35.59,73.0,116.0,189.0
218,218,Heather Hardy,22.0,1.0,0.0,,female,feather,15.01,37.48,28.41,32.22,118.89,151.11,36.11,16.47,28.83,36.44,135.89,172.33
219,219,Patrick Harris,18.0,0.0,0.0,138.09,male,super light,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
220,220,Tyrone Harris,26.0,14.0,0.0,,male,super light,24.21,57.74,37.62,30.5,48.5,79.0,34.9,12.87,26.87,11.0,52.0,63.0
221,221,Tony Harrison,28.0,2.0,0.0,,male,super welter,24.03,48.33,32.18,49.75,50.5,100.25,36.98,18.51,28.22,20.75,46.0,66.75
222,222,Jesse Hart,26.0,2.0,0.0,168.04,male,light heavy,27.93,44.48,37.09,35.44,69.89,105.33,34.84,15.61,25.78,16.44,41.22,57.67
223,223,Charles Hatley,28.0,2.0,1.0,153.2,male,super welter,14.51,34.86,27.73,23.0,102.5,125.5,20.0,8.84,15.68,14.5,52.0,66.5
224,224,Malik Hawkins,17.0,0.0,0.0,146.5,male,welter,16.84,39.01,32.19,13.83,72.17,86.0,40.89,15.66,32.62,14.33,76.67,91.0
225,225,Robert Helenius,29.0,3.0,0.0,236.46,male,heavy,19.13,38.21,26.15,36.08,42.0,78.08,34.04,19.5,25.37,31.54,37.31,68.85
226,226,Juan Heraldez,16.0,0.0,1.0,142.62,male,super light,20.98,30.72,26.45,24.33,45.67,70.0,36.07,16.96,26.41,25.33,52.67,78.0
227,227,Rigoberto Hermosillo,11.0,1.0,1.0,127.77,male,feather,16.0,31.65,27.88,8.0,50.0,58.0,34.81,15.38,27.72,16.0,63.0,79.0
228,228,Andrew Hernandez,20.0,8.0,2.0,,male,super middle,16.93,35.96,24.87,58.5,89.0,147.5,22.83,8.71,16.5,15.5,50.0,65.5
229,229,Angel Hernandez,16.0,14.0,2.0,136.16,male,welter,23.38,37.46,32.46,46.0,133.75,179.75,33.25,23.59,30.0,48.0,133.75,181.75
230,230,Carlos Hernandez,4.0,3.0,1.0,141.04,male,super light,24.55,37.92,36.08,16.2,156.6,172.8,34.65,26.35,32.67,36.0,151.0,187.0
231,231,Carlos Hernandez,0.0,1.0,0.0,129.5,male,super feather,24.55,37.92,36.08,16.2,156.6,172.8,34.65,26.35,32.67,36.0,151.0,187.0
232,232,Fidel Hernandez,20.0,7.0,1.0,,male,super middle,14.29,39.13,29.73,2.0,9.0,11.0,35.48,15.79,28.0,3.0,11.0,14.0
233,233,Joey Hernandez,27.0,5.0,1.0,155.21,male,middle,9.72,25.53,18.67,7.0,24.0,31.0,36.6,8.64,26.92,7.0,56.0,63.0
234,234,Jose Hernandez,19.0,6.0,1.0,168.95,male,light heavy,12.12,29.45,24.57,12.0,74.5,86.5,38.28,17.01,29.6,24.5,80.0,104.5
235,235,Nico Hernandez,7.0,0.0,0.0,114.61,male,fly,10.46,31.91,24.43,8.43,48.0,56.43,26.97,12.63,22.78,7.0,36.14,43.14
236,236,Rodney Hernandez,13.0,9.0,2.0,247.49,male,heavy,9.09,42.51,37.13,5.0,122.0,127.0,23.29,1.1,19.47,1.0,102.0,103.0
237,237,Mauricio Herrera,24.0,9.0,0.0,143.05,male,welter,25.51,38.96,34.16,56.08,154.33,210.42,33.18,21.61,29.28,46.75,141.42,188.17
238,238,Jamel Herring,20.0,2.0,0.0,,male,super feather,10.39,33.07,22.87,19.0,74.0,93.0,39.32,8.62,24.98,19.6,102.0,121.6
239,239,Thomas Hill,8.0,3.0,0.0,153.82,male,super welter,7.06,43.31,31.32,12.0,149.0,161.0,47.83,12.08,32.51,25.0,132.0,157.0
240,240,Maurice Hooker,26.0,1.0,3.0,140.78,male,super light,15.42,42.66,29.3,36.0,103.43,139.43,34.84,16.08,26.99,30.0,90.29,120.29
241,241,Azat Hovhannisyan,18.0,3.0,0.0,123.16,male,super bantam,15.51,38.37,32.42,11.5,80.83,92.33,37.8,21.41,34.21,13.17,82.67,95.83
242,242,Marco Huck,41.0,5.0,1.0,199.71,male,heavy,21.09,37.16,31.19,34.4,102.6,137.0,36.92,12.34,25.81,26.2,95.1,121.3
243,243,Charles Huerta,21.0,6.0,0.0,,male,super feather,15.57,28.49,26.11,13.0,105.0,118.0,38.18,16.98,32.75,22.5,147.0,169.5
244,244,Joe Hughes,6.0,3.0,0.0,,male,super middle,27.75,48.39,38.44,72.0,135.0,207.0,35.48,12.11,24.86,25.0,88.0,113.0
245,245,Marvin Hunt,14.0,44.0,1.0,,male,heavy,33.33,27.63,29.0,8.0,21.0,29.0,25.0,25.81,25.32,8.0,12.0,20.0
246,246,Eric Hunter,22.0,4.0,0.0,125.54,male,feather,18.3,42.8,36.43,14.0,93.17,107.17,34.18,11.26,26.09,13.67,76.0,89.67
247,247,Michael Hunter,18.0,1.0,0.0,209.18,male,heavy,20.62,38.71,30.72,35.0,83.0,118.0,43.56,26.33,35.83,35.43,72.0,107.43
248,248,Jarrett Hurd,23.0,1.0,0.0,,male,super welter,20.38,37.26,31.95,29.38,117.0,146.38,39.53,20.65,33.67,24.0,102.12,126.12
249,249,Kanat Islam,27.0,0.0,0.0,,male,middle,17.93,28.26,22.91,17.75,26.0,43.75,42.41,28.88,35.63,36.75,53.75,90.5
250,250,Badou Jack,22.0,2.0,3.0,,male,light heavy,19.91,34.87,27.45,41.06,73.11,114.17,44.16,26.2,35.22,45.06,76.61,121.67
251,251,Daniel Jacobs,35.0,3.0,0.0,161.38,male,middle,19.03,38.31,29.85,27.44,70.62,98.06,35.39,15.77,26.42,19.88,52.94,72.81
252,252,Jamal James,26.0,1.0,0.0,146.46,male,welter,13.3,34.69,24.83,30.5,93.1,123.6,37.72,14.5,27.49,36.5,120.7,157.2
253,253,Bryant Jennings,24.0,4.0,0.0,239.44,male,heavy,14.6,38.08,29.94,15.57,76.57,92.14,39.38,19.6,30.64,30.86,78.36,109.21
254,254,Mike Jimenez,23.0,2.0,2.0,169.73,male,light heavy,18.28,32.82,28.12,17.0,64.0,81.0,19.09,5.56,15.75,2.0,21.0,23.0
255,255,Chris Johnson,6.0,0.0,0.0,146.79,male,super welter,10.7,23.19,19.3,20.5,98.25,118.75,41.81,23.03,32.75,76.0,148.0,224.0
256,256,Curtis Johnson,11.0,0.0,0.0,137.02,male,super feather,0.0,34.55,25.0,0.0,9.5,9.5,18.6,2.5,14.79,0.5,12.0,12.5
257,257,Kevin Johnson,34.0,16.0,1.0,244.36,male,heavy,40.91,58.11,51.31,49.5,107.5,157.0,35.68,12.21,27.1,26.0,132.0,158.0
258,258,Kevin Johnson,7.0,2.0,0.0,142.75,male,welter,40.91,58.11,51.31,49.5,107.5,157.0,35.68,12.21,27.1,26.0,132.0,158.0
259,259,Tureano Johnson,21.0,2.0,1.0,,male,middle,13.17,32.65,28.71,12.8,125.0,137.8,52.3,20.16,48.32,9.8,179.6,189.4
260,260,Willie Jones,7.0,2.0,0.0,146.42,male,welter,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
261,261,Joe Joyce,10.0,0.0,0.0,251.25,male,heavy,28.88,48.48,36.99,27.0,32.0,59.0,38.89,24.37,30.62,14.5,17.5,32.0
262,262,Omar Juarez,5.0,0.0,0.0,140.55,male,super light,11.79,37.16,25.31,6.75,24.25,31.0,28.73,8.43,22.12,3.75,26.5,30.25
263,263,Zab Judah,44.0,10.0,0.0,,male,super light,13.59,37.36,24.2,26.5,58.71,85.21,35.44,17.86,26.24,30.75,55.61,86.36
264,264,Joel Julio,39.0,4.0,0.0,149.9,male,super welter,19.51,35.57,27.23,46.71,78.86,125.57,36.8,16.61,25.57,47.43,83.86,131.29
265,265,Radivoje Kalajdzic,24.0,2.0,0.0,,male,light heavy,22.1,33.15,27.74,39.0,61.0,100.0,24.31,26.64,25.45,32.5,31.0,63.5
266,266,Robert Kamya,22.0,13.0,1.0,,male,middle,21.68,33.66,26.64,15.5,17.0,32.5,44.36,28.19,35.82,21.0,29.5,50.5
267,267,Ryan Karl,18.0,2.0,0.0,143.69,male,welter,13.67,35.3,24.92,23.0,64.33,87.33,35.6,20.29,30.82,17.0,65.67,82.67
268,268,Tommy Karpency,29.0,7.0,1.0,176.36,male,light heavy,0.0,39.29,30.56,0.0,11.0,11.0,40.0,5.26,30.43,1.0,20.0,21.0
269,269,Travis Kauffman,32.0,3.0,0.0,232.53,male,heavy,14.22,38.19,28.06,15.0,55.0,70.0,35.77,20.45,30.79,13.5,49.0,62.5
270,270,Egidijus Kavaliauskas,21.0,0.0,1.0,,male,welter,17.45,29.06,22.76,28.5,40.0,68.5,38.11,15.19,25.06,25.5,48.33,73.83
271,271,Danny Kelly,10.0,3.0,1.0,237.12,male,heavy,18.81,39.13,22.58,38.0,18.0,56.0,38.97,28.57,33.57,42.0,53.0,95.0
272,272,Ferdinand Kerobyan,12.0,1.0,0.0,152.65,male,welter,13.29,27.66,22.56,7.67,29.0,36.67,38.05,12.13,29.3,7.5,46.17,53.67
273,273,Petr Khamukov,4.0,0.0,0.0,161.12,male,middle,4.0,26.83,22.97,1.0,33.0,34.0,37.14,26.67,35.0,12.0,65.0,77.0
274,274,Arnold Khegai,16.0,0.0,1.0,123.84,male,super bantam,20.78,32.54,28.34,41.5,116.83,158.33,28.69,11.69,21.35,22.17,71.67,93.83
275,275,Ievgen Khytrov,19.0,2.0,0.0,161.13,male,super middle,26.43,46.77,37.62,59.38,128.38,187.75,33.06,19.43,27.08,36.75,80.0,116.75
276,276,Noah Kidd,4.0,2.0,1.0,152.61,male,super welter,9.09,32.64,22.62,13.0,63.0,76.0,35.11,20.37,31.38,22.0,112.0,134.0
277,277,Ryan Kielczweski,30.0,4.0,0.0,130.08,male,light,19.01,35.46,28.9,40.5,113.75,154.25,32.59,14.57,26.61,20.25,91.25,111.5
278,278,Iago Kiladze,26.0,4.0,1.0,205.35,male,heavy,12.63,29.55,17.99,24.0,26.0,50.0,20.41,12.58,15.52,41.0,40.0,81.0
279,279,Cem Kilic,14.0,0.0,0.0,166.04,male,super middle,22.54,43.44,34.47,71.0,182.0,253.0,35.96,33.99,35.23,86.0,155.0,241.0
280,280,James Kirkland,33.0,2.0,0.0,,male,super welter,23.28,43.79,36.42,29.55,99.09,128.64,32.55,16.07,28.23,13.36,76.36,89.73
281,281,Sergey Kovalev,34.0,4.0,1.0,,male,light heavy,26.98,39.77,33.49,38.81,59.31,98.12,32.28,21.64,27.61,21.06,40.19,61.25
282,282,Adam Kownacki,20.0,0.0,0.0,242.26,male,heavy,21.06,33.94,30.82,23.29,117.71,141.0,41.27,14.74,33.33,25.57,167.71,193.29
283,283,Cameron Krael,16.0,15.0,3.0,142.42,male,welter,41.13,45.93,44.14,51.0,96.0,147.0,33.9,10.7,24.9,20.0,100.0,120.0
284,284,Willie Kyles,4.0,16.0,0.0,,male,heavy,53.85,62.75,59.74,14.0,32.0,46.0,17.74,23.53,18.99,4.0,11.0,15.0
285,285,Russell Lamour,16.0,3.0,0.0,,male,middle,18.02,30.17,28.03,20.0,156.0,176.0,38.06,14.02,32.07,23.0,188.0,211.0
286,286,Erislandy Lara,26.0,3.0,3.0,,male,super welter,16.66,34.54,25.97,31.21,70.32,101.53,34.84,12.58,25.17,18.74,67.63,86.37
287,287,Fredrick Lawson,28.0,2.0,0.0,149.66,male,welter,21.3,36.9,30.91,36.0,100.0,136.0,22.99,16.82,20.21,36.0,60.0,96.0
288,288,Brandun Lee,17.0,0.0,0.0,143.05,male,welter,20.0,47.62,30.84,6.5,10.0,16.5,41.67,18.18,30.43,8.0,20.0,28.0
289,289,Mike Lee,21.0,1.0,0.0,,male,super middle,16.91,29.03,23.67,20.8,45.0,65.8,24.71,15.76,20.62,23.2,43.2,66.4
290,290,Angelo Leo,18.0,0.0,0.0,121.35,male,super bantam,5.2,42.29,30.6,9.0,159.0,168.0,22.32,14.41,19.7,16.0,50.0,66.0
291,291,Jorge Linares,4.0,4.0,0.0,138.56,male,light,18.32,33.97,26.56,37.83,78.0,115.83,36.69,16.3,27.21,34.78,90.11,124.89
292,292,Sergey Lipinets,16.0,1.0,0.0,,male,welter,17.44,36.02,26.94,25.2,54.5,79.7,38.31,14.88,25.83,24.3,54.9,79.2
293,293,Vasiliy Lomachenko,14.0,1.0,0.0,,male,light,19.66,41.04,31.06,40.67,97.07,137.73,33.36,14.5,24.58,23.07,60.87,83.93
294,294,Abraham Lopez,10.0,3.0,1.0,141.3,male,welter,16.36,35.76,30.18,17.25,93.17,110.42,35.27,18.31,30.27,13.4,61.8,75.2
295,295,Adam Lopez,18.0,3.0,2.0,121.92,male,super bantam,12.97,34.96,28.15,17.4,104.6,122.0,38.89,15.07,31.0,25.8,134.4,160.2
296,296,Adam Lopez,13.0,1.0,0.0,125.29,male,feather,12.97,34.96,28.15,17.4,104.6,122.0,38.89,15.07,31.0,25.8,134.4,160.2
297,297,Jose Lopez,1.0,1.0,1.0,117.33,male,bantam,11.89,26.84,22.23,2.25,11.38,13.62,35.52,13.44,29.17,2.38,15.54,17.92
298,298,Josesito Lopez,37.0,8.0,0.0,138.73,male,welter,19.98,31.75,25.41,40.17,54.67,94.83,38.53,13.23,25.04,33.17,84.5,117.67
299,299,Misael Lopez,11.0,0.0,0.0,131.29,male,super feather,14.43,30.97,22.26,43.0,83.0,126.0,16.1,7.14,11.24,10.0,19.0,29.0
300,300,Patrick Lopez,28.0,13.0,0.0,140.52,male,light,40.91,53.67,48.98,40.5,91.5,132.0,34.03,13.74,28.33,9.0,57.0,66.0
301,301,Teofimo Lopez,14.0,0.0,0.0,,male,light,16.01,50.06,35.21,19.6,79.2,98.8,22.52,17.76,20.54,16.8,30.0,46.8
302,302,Tony Lopez,1.0,0.0,0.0,244.0,male,heavy,19.44,29.7,24.87,17.5,30.0,47.5,23.78,24.27,23.9,12.5,36.5,49.0
303,303,Wilberth Lopez,23.0,11.0,0.0,139.9,male,welter,13.33,28.8,19.04,42.0,53.0,95.0,21.92,6.49,14.0,10.0,32.0,42.0
304,304,J'Leon Love,24.0,3.0,1.0,164.63,male,super middle,23.57,40.77,33.45,27.62,64.38,92.0,39.26,15.27,29.42,20.15,74.62,94.77
305,305,Montana Love,12.0,0.0,1.0,144.08,male,super light,14.06,39.29,30.11,27.0,132.0,159.0,35.96,23.08,33.07,33.0,178.0,211.0
306,306,Erickson Lubin,22.0,1.0,0.0,153.22,male,super welter,14.82,36.09,27.54,11.12,40.24,51.35,43.2,15.89,32.87,13.12,58.53,71.65
307,307,Neslan Machado,16.0,0.0,0.0,125.25,male,feather,8.41,32.54,26.74,9.0,110.0,119.0,46.51,14.47,38.14,11.0,100.0,111.0
308,308,Neeco Macias,17.0,2.0,0.0,152.62,male,super welter,22.73,40.62,39.51,13.33,361.0,374.33,30.66,9.65,29.84,3.67,288.0,291.67
309,309,Ruslan Madiyev,13.0,1.0,0.0,137.81,male,super light,29.69,44.6,37.57,38.0,64.0,102.0,21.18,13.27,19.0,15.0,63.0,78.0
310,310,Israil Madrimov,4.0,0.0,0.0,,male,super welter,7.76,18.4,13.43,8.5,23.0,31.5,48.17,25.41,39.96,23.5,79.0,102.5
311,311,Diego Magdaleno,31.0,3.0,0.0,,male,light,8.92,28.75,20.21,13.44,57.33,70.78,38.19,10.39,27.61,17.56,104.89,122.44
312,312,Jessie Magdaleno,27.0,1.0,0.0,,male,feather,10.21,41.2,29.81,12.45,86.45,98.91,28.24,9.01,21.19,8.82,47.73,56.55
313,313,Amir Mansour,23.0,4.0,1.0,,male,heavy,11.88,34.44,26.45,16.0,84.5,100.5,39.45,14.42,28.06,29.17,95.67,124.83
314,314,Patricio Manuel,1.0,0.0,0.0,128.0,male,super feather,6.25,33.33,30.67,1.0,49.0,50.0,47.9,9.71,25.17,17.0,57.0,74.0
315,315,Steve Marquez,17.0,20.0,2.0,148.27,male,middle,17.14,19.82,18.52,18.0,22.0,40.0,23.72,18.81,21.79,19.0,37.0,56.0
316,316,Michael Marrone,21.0,11.0,0.0,221.6,male,heavy,19.48,37.27,29.95,15.0,41.0,56.0,27.84,10.53,25.0,2.0,27.0,29.0
317,317,Alex Martin,14.0,3.0,0.0,146.88,male,welter,7.23,25.34,18.23,8.5,46.0,54.5,40.12,12.22,25.44,22.0,65.0,87.0
318,318,Charles Martin,27.0,2.0,1.0,242.74,male,heavy,11.44,30.74,23.65,5.0,23.14,28.14,37.07,10.07,24.19,8.43,34.0,42.43
319,319,Christopher Martin,31.0,11.0,3.0,123.18,male,super feather,20.59,38.79,30.02,70.57,142.86,213.43,44.46,28.71,36.29,78.71,113.0,191.71
320,320,Kareem Martin,13.0,2.0,1.0,146.83,male,super welter,17.78,39.22,32.03,32.0,140.0,172.0,44.19,11.83,34.42,11.0,95.0,106.0
321,321,Javier Martinez,4.0,7.0,0.0,134.84,male,light,16.45,42.9,35.03,12.5,77.0,89.5,,,,,,
322,322,Jesus Martinez,26.0,10.0,0.0,118.85,male,super bantam,7.55,23.15,19.92,4.0,47.0,51.0,20.0,17.09,18.43,27.0,27.0,54.0
323,323,Ramon Martinez,0.0,1.0,0.0,142.25,male,welter,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
324,324,Steven Martinez,18.0,5.0,0.0,154.62,male,middle,19.41,37.65,31.67,23.0,91.5,114.5,33.66,13.81,26.85,18.5,86.5,105.0
325,325,Xavier Martinez,15.0,0.0,0.0,130.75,male,super feather,31.91,46.61,39.97,32.33,57.33,89.67,17.24,7.08,10.98,7.67,11.67,19.33
326,326,Reshat Mati,4.0,0.0,0.0,147.2,male,welter,0.0,33.33,21.43,0.0,3.0,3.0,63.64,33.33,61.11,1.0,21.0,22.0
327,327,Thomas Mattice,15.0,1.0,1.0,,male,light,21.7,32.84,29.1,40.75,121.75,162.5,33.33,20.31,26.44,46.25,67.5,113.75
328,328,Mikaela Mayer,12.0,0.0,0.0,,female,super feather,8.54,31.81,24.08,8.2,61.4,69.6,41.03,16.02,31.7,15.6,67.2,82.8
329,329,Travell Mazion,15.0,0.0,0.0,144.05,male,super welter,29.63,45.76,38.05,5.33,9.0,14.33,35.71,11.32,22.11,2.0,5.0,7.0
330,330,Emmanuel Medina,16.0,1.0,0.0,145.65,male,welter,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
331,331,Bektemir Melikuziev,3.0,0.0,0.0,173.5,male,light heavy,12.71,17.78,15.42,7.5,12.0,19.5,58.14,35.09,52.4,10.0,50.0,60.0
332,332,Mason Menard,36.0,4.0,0.0,134.81,male,light,14.48,27.35,22.28,21.0,61.0,82.0,38.81,14.15,30.29,15.0,78.0,93.0
333,333,Argenis Mendez,25.0,5.0,3.0,131.59,male,super light,21.68,42.99,35.53,37.5,138.0,175.5,30.82,13.68,24.66,29.0,116.5,145.5
334,334,Paul Mendez,21.0,3.0,2.0,162.41,male,super middle,22.54,36.5,31.18,29.25,76.75,106.0,42.78,21.88,33.9,35.5,94.0,129.5
335,335,Jarrell Miller,23.0,0.0,1.0,,male,heavy,21.15,35.32,29.43,26.36,61.91,88.27,44.38,21.24,34.94,24.27,73.55,97.82
336,336,Ladarius Miller,20.0,1.0,0.0,138.77,male,light,12.77,27.06,20.42,17.5,42.75,60.25,35.39,13.52,22.5,22.75,41.5,64.25
337,337,Oscar Mojica,12.0,5.0,1.0,116.36,male,bantam,12.64,29.77,22.28,11.33,34.33,45.67,30.16,15.86,25.72,12.0,50.67,62.67
