,Unnamed: 0,name,wins,losses,draws,average_weight,sex,division,Jab accuracy,Power punch accuracy,Total punch accuracy,Avg Jabs landed,Avg Power punches landed,Avg Total punches landed,% of Power punches landed against,% of Jabs landed against,% of Total punches landed against,Avg Jabs landed against,Avg Power punches landed against,Avg Total punches landed against
38,38,Jose Balderas,8.0,0.0,0.0,118.75,male,bantam,23.93,37.38,29.26,39.0,40.0,79.0,26.98,20.0,24.27,8.0,17.0,25.0
39,39,Demetrius Banks,10.0,9.0,1.0,199.14,male,cruiser,51.72,55.41,53.58,75.0,82.0,157.0,37.29,25.27,26.95,92.0,22.0,114.0
40,40,Ivan Baranchyk,20.0,1.0,0.0,,male,super light,25.93,44.85,37.37,32.91,87.09,120.0,34.34,19.72,27.43,27.27,52.91,80.18
41,41,Sullivan Barrera,22.0,3.0,0.0,180.55,male,light heavy,17.55,41.58,31.41,36.1,116.6,152.7,27.2,15.98,22.86,18.9,50.9,69.8
42,42,Brendan Barrett,7.0,3.0,2.0,,male,heavy,2.99,35.34,28.83,2.0,94.0,96.0,21.0,12.0,19.2,3.0,21.0,24.0
43,43,Mario Barrios,25.0,0.0,0.0,,male,super light,13.62,36.32,25.24,22.33,62.42,84.75,26.7,10.79,19.79,8.75,28.17,36.92
44,44,Ismael Barroso,21.0,3.0,2.0,135.41,male,super light,4.46,32.53,21.46,6.0,67.33,73.33,29.39,15.33,24.94,7.0,29.0,36.0
45,45,Leduan Barthelemy,15.0,0.0,1.0,125.73,male,super feather,8.95,34.76,23.25,12.8,61.8,74.6,30.94,12.04,24.61,16.2,82.8,99.0
46,46,Rances Barthelemy,27.0,1.0,1.0,,male,light,15.83,41.43,28.87,44.1,119.7,163.8,31.72,11.61,23.58,28.6,115.1,143.7
47,47,Constantin Bejenaru,14.0,0.0,0.0,209.83,male,cruiser,14.57,34.99,29.45,18.0,116.0,134.0,25.07,16.22,22.58,12.0,47.5,59.5
48,48,Lanell Bellows,19.0,5.0,3.0,169.06,male,super middle,17.24,28.89,24.32,5.0,13.0,18.0,44.44,14.86,28.47,11.0,28.0,39.0
49,49,Raymundo Beltran,36.0,9.0,1.0,,male,super light,21.48,42.08,35.88,32.89,149.44,182.33,33.36,15.98,25.91,37.67,104.89,142.56
50,50,David Benavidez,22.0,0.0,0.0,,male,super middle,25.47,44.51,37.36,35.1,102.1,137.2,33.19,16.21,24.67,31.1,63.3,94.4
