,clean_outcome,date,division,gender+division,global_id,judge1boxer,judge1opp,judge2boxer,judge2opp,judge3boxer,judge3opp,meta,name,opp_draw,opp_last6,opp_loss,opp_weight,opp_win,opposition,rating,rounds1,rounds2,sex,weight,Draw,Loss KO,Loss Other,Win KO,Win Other,fight_count,judge1avg,judge2avg,judge3avg,judge1againstavg,judge2againstavg,judge3againstavg,avgpts,avgptsagainst,KO ratio,KnockedOut ratio,opp_fight_count,opp_lossKO,opp_lossOther,opp_winKO,opp_winOther,opp_avgpts,opp_avgptsagainst,opp_KO ratio,opp_KnockedOut ratio,opp_meta,weightratio,age,height,rating1,rating2,bmi,opp_age,opp_height,opp_bmi,age_ratio,height_ratio,bmi_ratio,Jab accuracy,Power punch accuracy,Total punch accuracy,Avg Jabs landed,Avg Power punches landed,Avg Total punches landed,% of Power punches landed against,% of Jabs landed against,% of Total punches landed against,Avg Jabs landed against,Avg Power punches landed against,Avg Total punches landed against,oppjabaccuracy,opppoweraccuracy,opptotalaccuracy,oppavgjabslanded,oppavgpowerlanded,oppavgtotallanded,opppercpowerlandedagainst,opppercejabslandedagainst,oppperctotallandedagainst,oppavgjabsagainst,oppavgpowerlandedagainst,oppavgtotalagainst,last6
4615,loss,2009-02-28,super middle,male super middle,484562,0,0,0,0,0,0,,Jermin King,0.0,0.0,2.0,,1.0,Cecil Smith,0 ,4,4,male,0,0.07142857142857142,0.2857142857142857,0.5714285714285714,0.0,0.07142857142857142,14,10.285714285714286,10.285714285714286,7.714285714285714,11.357142857142858,11.357142857142858,8.571428571428571,23.142857142857146,25.571428571428573,0.0,0.02040816326530612,,,,,,,,,,,,33,180,0.35,0.35,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,-5.0
4629,loss,2017-07-28,feather,male feather,804307,36,40,37,39,37,39,,Harrison Barba,0.0,-10.0,2.0,131.0,0.0,Saquan Felton,0 ,4,4,male,130,0.0,0.0,0.25,0.5,0.25,4,18.75,19.0,19.25,19.25,19.0,18.75,44.166666666666664,44.5,0.125,0.0,,,,,,,,,,,0.9923664122137404,30,170,0.35,0.27,0.7647058823529411,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,5.0
4633,draw,2019-10-12,light,male light,873855,38,38,37,39,38,38,,Saul de los Santos,1.0,-20.0,7.0,142.75,0.0,Jonatan Mariano,0 ,4,4,male,140,1.0,0.0,0.0,0.0,0.0,1,38.0,37.0,38.0,38.0,39.0,38.0,87.66666666666667,89.66666666666667,0.0,0.0,,,,,,,,,,,0.9807355516637478,25,175,0.38,0.14,0.8,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
4634,win,2019-07-12,welter,male welter,849158,10,9,10,9,10,9,,Raymond Wilburg,0.0,-5.0,1.0,149.5,0.0,Jean Hernandez,0 ,2,4,male,148,0.0,0.0,0.0,0.0,1.0,1,10.0,10.0,10.0,9.0,9.0,9.0,23.333333333333332,21.0,0.0,0.0,2.0,0.5,0.5,0.0,0.0,53.166666666666664,57.666666666666664,0.0,0.25,,0.9899665551839465,32,168,0.31000000000000005,0.27,0.8809523809523809,25.0,175.0,0.8542857142857143,1.28,0.96,1.031215161649944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4635,loss,2009-11-27,feather,male feather,520740,0,0,0,0,0,0,,Freddy Jaramillo,0.0,0.0,0.0,129.25,0.0,Hamed Ali Katsumata,0 ,4,4,male,127,0.0,0.0,0.5,0.0,0.5,2,19.5,20.0,20.0,18.5,18.0,18.0,46.166666666666664,42.5,0.0,0.0,,,,,,,,,,,0.9825918762088974,38,168,0.24,0.16000000000000006,0.7559523809523809,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
4637,win,2019-07-12,super middle,male super middle,884290,37,39,39,36,39,37,,Hossam Abdeldayem,0.0,0.0,0.0,158.5,0.0,Daniel Jefferson,0 ,4,4,male,159,0.0,0.0,0.0,0.0,1.0,1,37.0,39.0,39.0,39.0,36.0,37.0,89.0,87.33333333333333,0.0,0.0,1.0,0.0,1.0,0.0,0.0,87.33333333333333,89.0,0.0,0.0,,1.003154574132492,30,178,0.2,0.2,0.8932584269662921,29.0,183.0,0.8661202185792349,1.0344827586206897,0.9726775956284153,1.0313330734058768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4638,loss,2017-12-09,feather,male feather,820270,0,0,0,0,0,0,,Rafael Morel,0.0,15.0,1.0,130.0,2.0,James Montgomery,0 ,2,4,male,129,0.0,0.75,0.25,0.0,0.0,4,9.0,9.0,9.0,10.0,10.0,10.0,21.0,23.333333333333332,0.0,0.1875,,,,,,,,,,,0.9923076923076923,28,175,0.17000000000000004,0.11,0.7371428571428571,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,-5.0
4642,win,2018-02-24,middle,male middle,824602,40,36,40,36,40,36,,Robert Terry,0.0,0.0,0.0,157.0,0.0,Corey Weekley,0 ,4,4,male,150,0.0,0.0,0.0,0.0,1.0,4,30.0,29.75,30.0,26.5,26.75,26.25,69.75,62.0,0.0,0.0,3.0,0.0,0.6666666666666666,0.3333333333333333,0.0,28.0,31.111111111111114,0.1111111111111111,0.0,,0.9554140127388535,26,175,0.73,0.74,0.8571428571428571,32.0,180.0,0.8722222222222222,0.8125,0.9722222222222222,0.9827115559599635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
4646,win,2012-03-17,super feather,male super feather,601280,40,35,40,35,39,36,,Andrew Bentley,0.0,-15.0,3.0,129.5,0.0,Jose Rivera,0 ,4,4,male,131,0.0,0.0,0.4444444444444444,0.1111111111111111,0.4444444444444444,9,27.555555555555557,27.444444444444443,27.22222222222222,27.22222222222222,27.333333333333332,27.555555555555557,64.07407407407408,63.74074074074074,0.012345679012345678,0.0,,,,,,,,,,,1.0115830115830116,33,170,0.71,0.53,0.7705882352941177,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,20.0
4655,loss,2018-02-13,heavy,male heavy,794790,36,40,36,40,36,40,,Nicoy Clarke,0.0,10.0,0.0,269.25,1.0,Michael Polite Coffie,0 ,4,4,male,206,0.0,0.14285714285714285,0.5714285714285714,0.0,0.2857142857142857,7,18.0,18.142857142857142,18.142857142857142,20.0,19.857142857142858,19.857142857142858,42.19047619047619,46.47619047619048,0.0,0.02040816326530612,7.0,0.0,0.0,0.7142857142857143,0.2857142857142857,33.333333333333336,29.333333333333332,0.10204081632653061,0.0,,0.7650882079851439,38,178,0.48,0.48,1.1573033707865168,33.0,193.0,1.395077720207254,1.1515151515151516,0.9222797927461139,0.8295619333771503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
