,miles,location,name,sex,w,l,d,division,from,to,players_links,id
2824,1748,"USA, Texas, El Paso",Francisco Javier Castro,male,28,11,0,super welter,2004,2019,https://boxrec.com/en/proboxer/274440,274440
2825,1748,"USA, Texas, El Paso",Abel Mendoza,male,20,0,0,super light,2016,2019,https://boxrec.com/en/proboxer/750352,750352
2826,1748,"USA, Texas, El Paso",Even Alexis Torres,male,7,9,0,middle,2014,2019,https://boxrec.com/en/proboxer/700838,700838
2827,1748,"USA, Texas, El Paso",Josue Garcia,male,10,6,0,welter,2011,2019,https://boxrec.com/en/proboxer/585878,585878
2828,1748,"USA, Texas, El Paso",Zach Prieto,male,9,0,0,middle,2017,2019,https://boxrec.com/en/proboxer/813836,813836
2829,1748,"USA, Texas, El Paso",Gabriel Gutierrez,male,5,8,0,welter,2014,2019,https://boxrec.com/en/proboxer/700121,700121
2830,1748,"USA, Texas, El Paso",Dwayne Bonds,male,5,3,1,super light,2015,2019,https://boxrec.com/en/proboxer/720730,720730
2831,1748,"USA, Texas, El Paso",Angelica Rascon,female,10,0,0,light,2014,2019,https://boxrec.com/en/proboxer/679814,679814
2832,1748,"USA, Texas, El Paso",Giovanni Loya,male,3,1,1,super middle,2016,2019,https://boxrec.com/en/proboxer/779303,779303
2833,1748,"USA, Texas, El Paso",Javier Nunez,male,1,5,0,welter,2011,2019,https://boxrec.com/en/proboxer/560883,560883
2834,1748,"USA, Texas, El Paso",Miguel Payan,male,1,0,0,middle,2019,2019,https://boxrec.com/en/proboxer/871309,871309
2835,1748,"USA, Texas, El Paso",Karina Mendoza,female,0,4,1,super welter,2018,2019,https://boxrec.com/en/proboxer/856272,856272
2836,1748,"USA, Texas, El Paso",Gabriel Rodriguez,male,0,1,0,cruiser,2019,2019,https://boxrec.com/en/proboxer/866894,866894
2837,1748,"USA, Texas, El Paso",Jose Rodriguez,male,0,1,0,feather,2019,2019,https://boxrec.com/en/proboxer/895387,895387
2838,1750,"USA, Texas, Canutillo",Tim Meek,male,7,3,3,light heavy,2013,2019,https://boxrec.com/en/proboxer/661387,661387
2839,1751,"USA, New Mexico, Las Cruces",Austin Trout,male,31,5,1,super welter,2005,2019,https://boxrec.com/en/proboxer/328611,328611
2840,1751,"USA, New Mexico, Las Cruces",Jose Salinas,male,10,4,1,super feather,2012,2018,https://boxrec.com/en/proboxer/631474,631474
2841,1751,"USA, New Mexico, Dona Ana",Daniel Calzada,male,17,20,3,welter,2009,2019,https://boxrec.com/en/proboxer/513394,513394
2842,1751,"USA, New Mexico, Las Cruces",Ayanna Vasquez,female,6,1,1,super feather,2016,2019,https://boxrec.com/en/proboxer/760590,760590
2843,1751,"USA, New Mexico, Las Cruces",Amy Salinas,female,3,0,0,super fly,2019,2019,https://boxrec.com/en/proboxer/866094,866094
2844,1751,"USA, New Mexico, Las Cruces",Juan Carlos Guillen,male,8,6,1,super feather,2014,2019,https://boxrec.com/en/proboxer/688803,688803
2845,1751,"USA, New Mexico, Las Cruces",Brandon White,male,4,0,0,fly,2018,2019,https://boxrec.com/en/proboxer/861921,861921
2846,1751,"USA, New Mexico, Dona Ana",Joey Saenz,male,2,1,1,light,2014,2019,https://boxrec.com/en/proboxer/697373,697373
2847,1751,"USA, New Mexico, Las Cruces",Savion Kent,male,1,0,0,,2019,2019,https://boxrec.com/en/proboxer/872587,872587
2848,1751,"USA, New Mexico, Las Cruces",Savion Kent,male,1,0,0,welter,2019,2019,https://boxrec.com/en/proboxer/898186,898186
